round,steps,score,reward,epsilon
1,15,0,-35.5,0.9999
2,7,0,-48.7,0.9998
3,33,1,-12.3,0.9997
4,6,0,-42.6,0.9996
5,16,0,-43.6,0.9995
6,6,0,-40.6,0.9994
7,6,0,-42.6,0.9993
8,25,0,-43.0,0.9992
9,20,0,-44.5,0.9991
10,20,0,-52.5,0.999
11,26,0,-45.6,0.9989
12,14,0,-40.4,0.9988
13,7,0,-48.2,0.9987
14,25,0,-47.5,0.9986
15,11,0,-45.6,0.9985
16,14,1,-24.4,0.9984
17,15,0,-45.0,0.9983
18,30,0,-45.0,0.9982
19,14,0,-42.9,0.9981
20,14,0,-46.4,0.998
21,8,0,-44.8,0.9979
22,7,0,-40.7,0.9978
23,6,0,-44.1,0.9977
24,18,0,-41.3,0.9976
25,7,0,-47.2,0.9975
26,6,0,-45.6,0.9974
27,10,0,-45.5,0.9973
28,13,0,-36.3,0.9972
29,7,0,-44.2,0.9971
30,16,0,-28.6,0.997
31,7,0,-47.2,0.9969
32,14,0,-38.4,0.9968
33,28,0,-18.3,0.9967
34,11,0,-45.1,0.9966
35,8,0,-43.8,0.9965
36,32,0,-40.2,0.9964
37,12,0,-46.2,0.9963
38,16,0,-38.6,0.9962
39,26,0,-47.1,0.9961
40,6,0,-42.6,0.996
41,20,0,-36.0,0.9959
42,23,0,-47.3,0.9958
43,10,0,-44.0,0.9957
44,7,0,-47.2,0.9956
45,18,0,-29.3,0.9955
46,12,0,-46.7,0.9954
47,5,0,-44.0,0.9953
48,34,0,-38.9,0.9952
49,11,0,-34.6,0.9951
50,20,0,-32.5,0.995
51,11,0,-41.6,0.9949
52,8,0,-46.3,0.9948
53,50,0,-46.5,0.9947
54,18,0,-42.3,0.9946
55,6,0,-43.6,0.9945
56,10,0,-50.5,0.9944
57,10,0,-46.0,0.9943
58,10,0,-44.5,0.9942
59,7,0,-48.7,0.9941
60,14,0,-36.9,0.994
61,8,0,-45.3,0.9939
62,9,0,-42.4,0.9938
63,10,0,-46.0,0.9937
64,68,0,-52.8,0.9936
65,10,0,-42.0,0.9935
66,14,0,-48.4,0.9934
67,5,0,-42.5,0.9933
68,33,0,-29.8,0.9932
69,13,0,-50.3,0.9931
70,24,0,-26.9,0.993
71,20,0,-54.0,0.9929
72,33,0,-30.8,0.9928
73,21,0,-49.1,0.9927
74,13,0,-47.3,0.9926
75,23,0,-48.8,0.9925
76,22,0,-45.7,0.9924
77,31,0,-42.1,0.9923
78,16,0,-40.6,0.9922
79,14,0,-34.9,0.9921
80,16,0,-55.1,0.992
81,6,0,-46.1,0.9919
82,9,0,-45.9,0.9918
83,19,0,-38.9,0.9917
84,8,0,-46.3,0.9916
85,12,0,-46.7,0.9915
86,10,0,-45.0,0.9914
87,6,0,-46.1,0.9913
88,7,0,-42.7,0.9912
89,8,0,-47.8,0.9911
90,18,0,-40.8,0.991
91,65,0,-46.0,0.9909
92,16,0,-52.1,0.9908
93,25,0,-48.5,0.9907
94,9,0,-47.9,0.9906
95,13,0,-40.8,0.9905
96,15,0,-38.0,0.9904
97,19,0,-45.4,0.9903
98,35,0,-62.5,0.9902
99,14,0,-40.4,0.9901
100,11,0,-44.6,0.99
101,21,0,-60.1,0.99
102,13,0,-47.3,0.9899
103,16,0,-25.1,0.9898
104,21,0,-41.6,0.9897
105,10,0,-46.0,0.9896
