round,steps,score,reward,epsilon
1,6,0,-57.0,0.999
2,8,0,-63.0,0.998
3,14,0,-70.0,0.997
4,5,0,-51.0,0.996
5,8,0,-59.0,0.995
6,14,0,-68.0,0.994
7,5,0,-49.0,0.993
8,8,0,-61.0,0.992
9,15,0,-75.0,0.991
10,17,0,-74.0,0.99
11,16,0,-67.0,0.9891
12,12,0,-66.0,0.9881
13,70,0,-151.0,0.9871
14,12,0,-63.0,0.9861
15,10,0,-61.0,0.9851
16,26,0,-89.0,0.9841
17,8,0,-57.0,0.9831
18,6,0,-52.0,0.9822
19,10,0,-61.0,0.9812
20,8,0,-56.0,0.9802
21,7,0,-58.0,0.9792
22,9,0,-58.0,0.9782
23,8,0,-57.0,0.9773
24,44,0,-126.0,0.9763
25,5,0,-56.0,0.9753
26,20,0,-70.0,0.9743
27,7,0,-56.0,0.9733
28,12,0,-73.0,0.9724
29,26,0,-99.0,0.9714
30,37,0,-108.0,0.9704
31,16,0,-74.0,0.9695
32,15,0,-73.0,0.9685
33,28,0,-90.0,0.9675
34,13,0,-61.0,0.9666
35,5,0,-54.0,0.9656
36,23,0,-87.0,0.9646
37,15,0,-70.0,0.9637
38,8,0,-60.0,0.9627
39,5,0,-52.0,0.9617
40,10,0,-53.0,0.9608
41,6,0,-52.0,0.9598
42,20,0,-82.0,0.9588
43,9,0,-54.0,0.9579
44,6,0,-58.0,0.9569
45,17,0,-79.0,0.956
46,5,0,-53.0,0.955
47,8,0,-60.0,0.9541
48,13,0,-66.0,0.9531
49,9,0,-59.0,0.9522
50,8,0,-63.0,0.9512
51,11,0,-68.0,0.9503
52,20,0,-72.0,0.9493
53,13,0,-66.0,0.9484
54,22,0,-75.0,0.9474
55,8,0,-58.0,0.9465
56,9,0,-58.0,0.9455
57,19,0,-71.0,0.9446
58,25,0,-83.0,0.9436
59,13,0,-69.0,0.9427
60,54,0,-140.0,0.9417
61,26,0,-85.0,0.9408
62,30,0,-103.0,0.9399
63,14,0,-65.0,0.9389
64,28,0,-95.0,0.938
65,22,0,-82.0,0.937
66,13,0,-68.0,0.9361
67,12,0,-67.0,0.9352
68,11,0,-65.0,0.9342
69,25,0,-74.0,0.9333
70,14,0,-64.0,0.9324
71,5,0,-54.0,0.9314
72,6,0,-57.0,0.9305
73,10,0,-62.0,0.9296
74,29,0,-87.0,0.9286
75,9,0,-58.0,0.9277
76,5,0,-52.0,0.9268
77,9,0,-62.0,0.9259
78,13,0,-76.0,0.9249
79,20,0,-92.0,0.924
80,13,0,-65.0,0.9231
81,19,0,-65.0,0.9222
82,7,0,-55.0,0.9212
83,11,0,-66.0,0.9203
84,25,0,-87.0,0.9194
85,5,0,-54.0,0.9185
86,14,0,-67.0,0.9176
87,54,0,-134.0,0.9166
88,55,0,-125.0,0.9157
89,11,0,-67.0,0.9148
90,21,0,-74.0,0.9139
91,16,0,-78.0,0.913
92,8,0,-49.0,0.9121
93,12,0,-61.0,0.9112
94,64,1,-113.0,0.9102
95,20,0,-77.0,0.9093
96,5,0,-52.0,0.9084
97,5,0,-49.0,0.9075
98,24,0,-86.0,0.9066
99,7,0,-61.0,0.9057
100,18,0,-72.0,0.9048
101,38,0,-112.0,0.9039
102,8,0,-58.0,0.903
103,12,0,-56.0,0.9021
104,5,0,-51.0,0.9012
105,11,0,-62.0,0.9003
106,43,0,-121.0,0.8994
107,15,0,-78.0,0.8985
108,10,0,-62.0,0.8976
109,19,0,-80.0,0.8967
110,9,0,-58.0,0.8958
111,10,0,-60.0,0.8949
112,22,0,-88.0,0.894
113,6,0,-54.0,0.8931
114,22,0,-83.0,0.8922
115,16,0,-66.0,0.8913
116,8,0,-53.0,0.8904
117,27,0,-67.0,0.8895
118,13,0,-53.0,0.8886
119,5,0,-55.0,0.8878
120,20,0,-82.0,0.8869
121,12,0,-61.0,0.886
122,29,0,-87.0,0.8851
123,9,0,-60.0,0.8842
124,9,0,-60.0,0.8833
125,14,0,-53.0,0.8824
126,11,0,-61.0,0.8816
127,11,0,-68.0,0.8807
128,12,0,-62.0,0.8798
129,20,0,-70.0,0.8789
130,11,0,-60.0,0.878
131,8,0,-53.0,0.8772
132,27,0,-79.0,0.8763
133,43,0,-117.0,0.8754
134,19,0,-78.0,0.8745
135,33,0,-95.0,0.8737
136,16,0,-73.0,0.8728
137,9,0,-59.0,0.8719
138,15,0,-74.0,0.871
139,58,0,-122.0,0.8702
140,76,0,-130.0,0.8693
141,27,0,-89.0,0.8684
142,7,0,-50.0,0.8676
143,24,0,-76.0,0.8667
144,21,0,-73.0,0.8658
145,19,0,-67.0,0.865
146,12,0,-60.0,0.8641
147,16,0,-69.0,0.8632
148,34,0,-111.0,0.8624
149,22,0,-70.0,0.8615
150,16,0,-70.0,0.8606
151,21,0,-87.0,0.8598
152,6,0,-53.0,0.8589
153,25,0,-72.0,0.8581
154,5,0,-54.0,0.8572
155,6,0,-57.0,0.8563
156,5,0,-53.0,0.8555
157,59,0,-120.0,0.8546
158,12,0,-58.0,0.8538
159,22,0,-79.0,0.8529
160,13,0,-67.0,0.8521
161,36,0,-99.0,0.8512
162,26,0,-73.0,0.8504
163,9,0,-66.0,0.8495
164,8,0,-61.0,0.8487
165,8,0,-54.0,0.8478
166,41,0,-90.0,0.847
167,8,0,-51.0,0.8461
168,8,0,-45.0,0.8453
169,27,0,-90.0,0.8444
170,21,0,-62.0,0.8436
171,9,0,-62.0,0.8427
172,5,0,-54.0,0.8419
173,9,0,-55.0,0.8411
174,15,0,-66.0,0.8402
175,10,0,-63.0,0.8394
176,16,0,-62.0,0.8385
177,7,0,-56.0,0.8377
178,23,0,-75.0,0.8369
179,11,0,-59.0,0.836
180,8,0,-59.0,0.8352
181,14,0,-62.0,0.8344
182,50,0,-127.0,0.8335
183,21,0,-73.0,0.8327
184,35,0,-97.0,0.8319
185,7,0,-58.0,0.831
186,8,0,-53.0,0.8302
187,5,0,-49.0,0.8294
188,10,0,-54.0,0.8285
189,17,0,-73.0,0.8277
190,22,0,-76.0,0.8269
191,6,0,-55.0,0.8261
192,74,0,-174.0,0.8252
193,19,0,-67.0,0.8244
194,17,0,-74.0,0.8236
195,16,0,-52.0,0.8228
196,25,0,-81.0,0.8219
197,10,0,-61.0,0.8211
198,14,0,-62.0,0.8203
199,6,0,-58.0,0.8195
200,11,0,-61.0,0.8186
201,38,0,-107.0,0.8178
202,5,0,-51.0,0.817
203,10,0,-52.0,0.8162
204,22,0,-75.0,0.8154
205,38,0,-98.0,0.8146
206,6,0,-53.0,0.8137
207,25,0,-74.0,0.8129
208,17,0,-73.0,0.8121
209,20,0,-52.0,0.8113
210,19,0,-71.0,0.8105
211,13,0,-66.0,0.8097
212,5,0,-55.0,0.8089
213,11,0,-55.0,0.8081
214,56,0,-129.0,0.8073
215,5,0,-54.0,0.8065
216,39,0,-87.0,0.8056
217,10,0,-60.0,0.8048
218,13,0,-62.0,0.804
219,41,0,-113.0,0.8032
220,9,0,-48.0,0.8024
221,13,0,-54.0,0.8016
222,35,0,-86.0,0.8008
223,19,0,-66.0,0.8
224,17,0,-69.0,0.7992
225,8,0,-60.0,0.7984
226,7,0,-62.0,0.7976
227,61,0,-124.0,0.7968
228,21,0,-72.0,0.796
229,17,0,-72.0,0.7952
230,29,0,-73.0,0.7944
231,20,0,-74.0,0.7936
232,12,0,-61.0,0.7929
233,20,0,-77.0,0.7921
234,23,0,-74.0,0.7913
235,17,0,-71.0,0.7905
236,7,0,-59.0,0.7897
237,11,0,-61.0,0.7889
238,8,0,-49.0,0.7881
239,25,0,-86.0,0.7873
240,5,0,-55.0,0.7865
241,29,0,-71.0,0.7857
242,5,0,-53.0,0.785
243,18,0,-83.0,0.7842
244,9,0,-58.0,0.7834
245,57,0,-121.0,0.7826
246,13,0,-49.0,0.7818
247,15,0,-58.0,0.781
248,5,0,-49.0,0.7803
249,9,0,-55.0,0.7795
250,16,0,-63.0,0.7787
251,10,0,-62.0,0.7779
252,20,0,-76.0,0.7771
253,16,0,-71.0,0.7764
254,32,0,-100.0,0.7756
255,5,0,-55.0,0.7748
256,16,0,-63.0,0.774
257,47,0,-95.0,0.7733
258,39,1,-70.0,0.7725
