round,steps,score,reward,epsilon
1,43,0,-107.3,0.999
2,23,0,-89.3,0.998
3,12,0,-58.2,0.997
4,10,0,-55.0,0.996
5,9,0,-54.4,0.995
6,5,0,-47.5,0.994
7,6,0,-46.6,0.993
8,7,0,-49.7,0.992
9,6,0,-52.6,0.991
10,6,0,-45.6,0.99
11,8,0,-56.8,0.9891
12,16,0,-59.1,0.9881
13,17,0,-78.2,0.9871
14,18,0,-60.3,0.9861
15,6,0,-48.1,0.9851
16,20,0,-80.0,0.9841
17,14,0,-56.9,0.9831
18,11,0,-58.1,0.9822
19,12,0,-63.7,0.9812
20,13,0,-60.8,0.9802
21,26,0,-77.6,0.9792
22,10,0,-43.5,0.9782
23,21,0,-75.1,0.9773
24,30,0,-88.5,0.9763
25,21,0,-91.1,0.9753
26,26,0,-83.1,0.9743
27,10,0,-58.0,0.9733
28,27,0,-79.7,0.9724
29,5,0,-40.5,0.9714
30,6,0,-56.6,0.9704
31,9,0,-58.9,0.9695
32,35,0,-86.5,0.9685
33,29,0,-96.4,0.9675
34,11,0,-56.1,0.9666
35,17,0,-78.2,0.9656
36,7,0,-51.7,0.9646
37,5,0,-46.5,0.9637
38,12,0,-70.7,0.9627
39,20,0,-84.5,0.9617
40,7,0,-51.7,0.9608
41,24,0,-73.4,0.9598
42,19,0,-81.4,0.9588
43,24,0,-71.9,0.9579
44,7,0,-58.2,0.9569
45,13,0,-65.8,0.956
46,17,0,-62.7,0.955
47,12,0,-56.2,0.9541
48,5,0,-43.5,0.9531
49,6,0,-56.6,0.9522
50,5,0,-43.5,0.9512
51,10,0,-63.0,0.9503
52,6,0,-48.6,0.9493
53,6,0,-49.6,0.9484
54,9,0,-58.9,0.9474
55,9,0,-41.9,0.9465
56,26,0,-82.6,0.9455
57,10,0,-59.0,0.9446
58,11,0,-54.6,0.9436
59,7,0,-54.7,0.9427
60,10,0,-53.5,0.9417
61,5,0,-45.5,0.9408
62,16,0,-76.1,0.9399
63,8,0,-51.3,0.9389
64,10,0,-51.5,0.938
65,11,0,-48.6,0.937
66,11,0,-69.1,0.9361
67,5,0,-48.5,0.9352
68,17,0,-65.7,0.9342
69,26,0,-90.6,0.9333
70,13,0,-68.8,0.9324
71,7,0,-46.2,0.9314
72,16,0,-57.1,0.9305
73,11,0,-63.1,0.9296
74,13,0,-56.8,0.9286
75,35,0,-67.0,0.9277
76,52,0,-117.7,0.9268
77,6,0,-43.6,0.9259
78,36,0,-94.1,0.9249
79,6,0,-48.6,0.924
80,29,0,-103.9,0.9231
81,10,0,-53.5,0.9222
82,12,0,-68.7,0.9212
83,15,0,-67.0,0.9203
84,29,0,-80.9,0.9194
85,8,0,-52.3,0.9185
86,6,0,-43.6,0.9176
87,10,0,-52.0,0.9166
88,37,0,-70.2,0.9157
89,8,0,-57.3,0.9148
90,11,0,-58.6,0.9139
91,34,0,-97.9,0.913
92,6,0,-51.6,0.9121
93,39,0,-101.9,0.9112
94,9,0,-53.9,0.9102
95,12,0,-57.7,0.9093
96,7,0,-56.7,0.9084
97,18,0,-57.8,0.9075
98,22,0,-86.7,0.9066
99,7,0,-49.7,0.9057
100,19,0,-81.9,0.9048
101,41,1,-104.6,0.9039
102,13,0,-44.3,0.903
103,19,0,-72.9,0.9021
104,32,0,-77.2,0.9012
105,27,0,-74.7,0.9003
106,27,0,-79.7,0.8994
107,23,0,-37.8,0.8985
108,15,0,-61.0,0.8976
109,23,0,-80.8,0.8967
110,10,0,-51.5,0.8958
111,11,0,-42.1,0.8949
112,36,0,-94.6,0.894
113,25,0,-63.0,0.8931
114,28,0,-82.8,0.8922
115,12,0,-52.7,0.8913
116,12,0,-62.7,0.8904
117,13,0,-57.3,0.8895
118,5,0,-41.5,0.8886
119,8,0,-51.3,0.8878
120,10,0,-57.0,0.8869
121,15,0,-64.0,0.886
122,44,0,-96.4,0.8851
123,6,0,-37.6,0.8842
124,17,0,-76.2,0.8833
125,26,0,-81.1,0.8824
126,23,0,-93.3,0.8816
