round,steps,score,reward,epsilon
1,8,0,-39.8,0.999
2,8,0,-48.8,0.998
3,46,1,-20.1,0.997
4,6,0,-45.6,0.996
5,32,0,-33.2,0.995
6,17,0,-36.7,0.994
7,15,0,-27.5,0.993
8,20,0,-47.0,0.992
9,25,0,-47.5,0.991
10,35,0,-33.0,0.99
11,60,1,-21.0,0.9891
12,26,0,-38.6,0.9881
13,9,0,-40.4,0.9871
14,6,0,-43.1,0.9861
15,6,0,-43.6,0.9851
16,17,0,-40.7,0.9841
17,33,1,-27.8,0.9831
18,12,0,-47.7,0.9822
19,8,0,-40.8,0.9812
20,19,0,-51.9,0.9802
21,7,0,-46.2,0.9792
22,10,0,-40.0,0.9782
23,14,0,-18.9,0.9773
24,11,0,-44.6,0.9763
25,13,0,-33.8,0.9753
26,8,0,-32.3,0.9743
27,13,0,-35.8,0.9733
28,12,0,-34.2,0.9724
29,24,0,-42.9,0.9714
30,5,0,-42.5,0.9704
31,8,0,-39.8,0.9695
32,19,0,-40.9,0.9685
33,45,1,-5.0,0.9675
34,13,0,-32.8,0.9666
35,22,0,-46.7,0.9656
36,13,0,-37.3,0.9646
37,42,3,24.3,0.9637
38,17,0,-35.7,0.9627
39,7,0,-44.7,0.9617
40,9,0,-30.9,0.9608
41,5,0,-47.0,0.9598
42,55,2,6.5,0.9588
43,8,0,-43.3,0.9579
44,14,0,-36.9,0.9569
45,6,0,-43.6,0.956
46,12,0,-52.7,0.955
47,17,1,-36.7,0.9541
48,18,0,-56.3,0.9531
49,22,0,-20.7,0.9522
50,14,0,-40.4,0.9512
51,15,0,-34.0,0.9503
52,23,0,-46.3,0.9493
53,14,0,-33.9,0.9484
54,29,1,2.1,0.9474
55,23,0,-28.8,0.9465
56,7,0,-47.7,0.9455
57,24,0,-41.4,0.9446
58,14,0,-31.9,0.9436
59,34,0,-36.9,0.9427
60,14,1,-20.4,0.9417
61,21,0,-36.6,0.9408
62,7,0,-44.7,0.9399
63,22,1,3.3,0.9389
64,7,0,-33.2,0.938
65,29,1,-37.9,0.937
66,20,0,-35.5,0.9361
67,30,0,-40.5,0.9352
68,12,0,-43.7,0.9342
69,8,0,-46.3,0.9333
70,25,1,-30.0,0.9324
71,25,0,-45.0,0.9314
72,7,0,-45.2,0.9305
73,20,0,-49.0,0.9296
