round,steps,score,reward,epsilon
1,16,0,-38.6,0.999
2,18,0,-60.8,0.998
3,17,0,-44.7,0.997
4,14,0,-49.4,0.996
5,8,0,-35.8,0.995
6,8,0,-42.8,0.994
7,25,0,-38.5,0.993
8,17,0,-54.7,0.992
9,15,0,-32.5,0.991
10,27,1,-2.7,0.99
11,13,0,-34.3,0.9891
12,31,0,-40.1,0.9881
13,6,0,-38.6,0.9871
14,26,0,-44.6,0.9861
15,20,0,-25.0,0.9851
16,12,0,-60.2,0.9841
17,25,1,-33.5,0.9831
18,21,0,-52.1,0.9822
19,14,0,-51.4,0.9812
20,9,0,-47.9,0.9802
21,52,1,-17.2,0.9792
22,18,0,-53.8,0.9782
23,23,1,-28.3,0.9773
24,5,0,-39.5,0.9763
25,41,2,-14.1,0.9753
26,22,0,-53.2,0.9743
27,24,0,-45.4,0.9733
28,61,2,-20.1,0.9724
29,7,0,-42.7,0.9714
30,15,0,-15.5,0.9704
31,12,0,-35.2,0.9695
32,8,0,-43.8,0.9685
33,27,0,-47.7,0.9675
34,10,0,-45.0,0.9666
35,6,0,-39.6,0.9656
36,15,0,-32.5,0.9646
37,38,0,-45.8,0.9637
38,8,0,-49.8,0.9627
39,26,2,-1.6,0.9617
40,36,0,-20.6,0.9608
41,9,0,-36.9,0.9598
42,32,0,-53.2,0.9588
43,6,0,-43.6,0.9579
44,6,0,-40.6,0.9569
45,8,0,-45.8,0.956
46,9,0,-47.9,0.955
47,23,0,-57.3,0.9541
48,29,0,-35.9,0.9531
49,6,0,-37.6,0.9522
50,14,0,-34.4,0.9512
51,7,0,-48.7,0.9503
52,13,0,-27.3,0.9493
53,10,0,-51.0,0.9484
54,44,0,-19.4,0.9474
55,6,0,-43.6,0.9465
56,9,0,-40.9,0.9455
57,9,0,-48.9,0.9446
58,16,0,-50.6,0.9436
59,26,0,-40.6,0.9427
60,6,0,-35.6,0.9417
61,6,0,-46.6,0.9408
62,11,0,-33.1,0.9399
63,56,1,-37.6,0.9389
64,18,0,-37.8,0.938
65,13,0,-35.3,0.937
66,47,0,-67.7,0.9361
67,9,0,-42.9,0.9352
68,35,0,-31.5,0.9342
69,17,0,-38.7,0.9333
70,13,0,-48.3,0.9324
71,10,0,-44.0,0.9314
72,6,0,-43.6,0.9305
73,30,0,-50.0,0.9296
74,16,0,-48.6,0.9286
75,15,0,-39.5,0.9277
76,9,0,-50.9,0.9268
77,28,0,-26.8,0.9259
78,19,0,-39.9,0.9249
79,16,0,-41.6,0.924
80,5,0,-39.5,0.9231
81,9,0,-38.9,0.9222
82,24,1,-2.4,0.9212
83,6,0,-33.6,0.9203
84,11,0,-41.1,0.9194
85,22,0,-53.2,0.9185
86,30,0,-19.0,0.9176
87,48,1,-47.8,0.9166
88,37,1,-37.7,0.9157
89,9,0,-40.9,0.9148
90,13,0,-28.3,0.9139
91,18,0,-57.8,0.913
92,6,0,-35.6,0.9121
93,15,0,-31.5,0.9112
94,14,0,-28.4,0.9102
95,48,1,-25.8,0.9093
96,16,0,-46.6,0.9084
97,6,0,-37.6,0.9075
98,27,0,-58.7,0.9066
99,23,0,-40.3,0.9057
100,10,0,-34.0,0.9048
101,31,1,-19.1,0.9039
102,27,1,-55.7,0.903
103,39,0,-26.9,0.9021
104,27,0,-33.7,0.9012
105,19,0,-45.9,0.9003
106,13,0,-35.3,0.8994
107,14,0,-30.4,0.8985
108,33,0,-41.3,0.8976
109,33,2,2.7,0.8967
110,105,1,-21.5,0.8958
111,52,2,-12.2,0.8949
112,7,0,-45.7,0.894
113,84,4,13.6,0.8931
114,25,2,-14.5,0.8922
115,17,0,-51.7,0.8913
116,5,0,-52.5,0.8904
117,55,1,4.5,0.8895
118,6,0,-44.6,0.8886
119,8,0,-34.8,0.8878
120,26,2,4.4,0.8869
121,21,1,-35.1,0.886
122,24,0,-34.4,0.8851
123,6,0,-40.6,0.8842
124,24,1,-21.4,0.8833
125,8,0,-44.8,0.8824
126,21,2,-25.1,0.8816
127,9,0,-32.9,0.8807
128,41,0,-29.1,0.8798
129,16,0,-35.6,0.8789
130,11,0,-47.1,0.878
131,13,1,-15.3,0.8772
132,10,0,-39.0,0.8763
133,6,0,-41.6,0.8754
134,5,0,-46.5,0.8745
135,24,0,-41.4,0.8737
136,13,0,-40.3,0.8728
137,14,0,-40.4,0.8719
138,19,0,-36.9,0.871
139,17,0,-34.7,0.8702
140,9,0,-44.9,0.8693
141,61,3,-2.1,0.8684
142,22,0,-15.2,0.8676
143,15,0,-38.5,0.8667
144,21,0,-45.1,0.8658
145,31,1,-21.1,0.865
146,18,1,-23.8,0.8641
147,69,1,-1.9,0.8632
148,16,0,-56.6,0.8624
149,17,0,-38.7,0.8615
150,13,0,-23.3,0.8606
151,7,0,-36.7,0.8598
152,6,0,-39.6,0.8589
153,21,0,-43.1,0.8581
154,47,1,-42.7,0.8572
155,22,1,-42.2,0.8563
156,8,0,-41.8,0.8555
157,71,2,-39.1,0.8546
158,5,0,-45.5,0.8538
159,25,0,-52.5,0.8529
160,8,0,-39.8,0.8521
161,26,0,-15.6,0.8512
162,45,1,-26.5,0.8504
163,25,2,-3.5,0.8495
164,8,0,-34.8,0.8487
165,29,1,-21.9,0.8478
166,30,1,-29.0,0.847
167,31,1,15.9,0.8461
168,25,1,-38.5,0.8453
169,5,0,-46.5,0.8444
170,13,0,-59.3,0.8436
171,8,0,-43.8,0.8427
172,30,2,-9.0,0.8419
173,68,1,-2.8,0.8411
174,14,0,-35.4,0.8402
175,9,0,-41.9,0.8394
176,17,0,-44.7,0.8385
177,17,1,-31.7,0.8377
178,41,0,-44.1,0.8369
179,34,0,-33.4,0.836
180,20,0,-52.0,0.8352
181,8,0,-41.8,0.8344
182,31,1,-15.1,0.8335
183,43,2,-6.3,0.8327
184,12,0,-45.2,0.8319
185,24,2,-9.4,0.831
186,42,0,-30.2,0.8302
187,17,0,-36.7,0.8294
188,19,1,-15.9,0.8285
189,40,3,-20.0,0.8277
190,56,1,14.4,0.8269
191,10,0,-33.0,0.8261
192,6,0,-34.6,0.8252
193,22,0,-30.2,0.8244
194,11,0,-34.1,0.8236
195,28,2,-33.8,0.8228
196,23,0,-60.3,0.8219
197,16,0,-54.6,0.8211
198,25,2,-30.5,0.8203
199,6,0,-40.6,0.8195
200,57,3,5.3,0.8186
201,8,0,-44.8,0.8178
202,23,0,-26.3,0.817
203,40,0,-53.0,0.8162
204,20,1,-27.0,0.8154
205,17,0,-43.7,0.8146
206,11,0,-44.1,0.8137
207,8,0,-40.8,0.8129
208,5,0,-42.5,0.8121
209,10,0,-43.0,0.8113
210,51,1,-18.1,0.8105
211,30,0,-28.0,0.8097
212,25,1,-24.5,0.8089
213,17,0,-47.7,0.8081
214,17,0,-60.7,0.8073
215,39,1,5.1,0.8065
216,22,1,-16.2,0.8056
217,6,0,-38.6,0.8048
218,25,0,-58.5,0.804
219,56,1,-34.6,0.8032
220,38,0,-18.8,0.8024
221,22,0,-47.2,0.8016
222,16,0,-34.6,0.8008
223,28,0,-58.8,0.8
224,25,1,-32.5,0.7992
225,27,1,-17.7,0.7984
226,34,0,-69.4,0.7976
227,49,1,-32.9,0.7968
228,19,0,-43.9,0.796
229,20,0,-55.0,0.7952
230,6,0,-40.6,0.7944
231,14,0,-37.4,0.7936
232,17,0,-46.7,0.7929
233,7,0,-41.7,0.7921
234,26,1,-16.6,0.7913
235,28,1,-40.8,0.7905
236,17,0,-30.7,0.7897
237,16,0,-26.6,0.7889
238,9,0,-44.9,0.7881
239,8,0,-38.8,0.7873
240,43,2,1.7,0.7865
241,8,0,-49.8,0.7857
242,29,1,-5.9,0.785
243,20,0,-67.0,0.7842
244,15,0,-42.5,0.7834
245,15,0,-57.5,0.7826
246,44,3,-24.4,0.7818
247,46,1,-20.6,0.781
248,38,1,-28.8,0.7803
249,20,1,-7.0,0.7795
250,10,0,-50.0,0.7787
251,18,0,-42.8,0.7779
252,13,0,-27.3,0.7771
253,16,1,-23.6,0.7764
254,14,0,-37.4,0.7756
255,22,0,-40.2,0.7748
256,19,0,-27.9,0.774
257,6,0,-38.6,0.7733
258,33,1,-9.3,0.7725
259,14,0,-6.4,0.7717
260,18,0,-47.8,0.771
261,6,0,-35.6,0.7702
262,15,0,-41.5,0.7694
263,26,0,-43.6,0.7686
264,33,0,-37.3,0.7679
265,13,0,-42.3,0.7671
266,24,2,-0.4,0.7663
267,42,6,42.8,0.7656
268,13,0,-55.3,0.7648
269,6,0,-44.6,0.764
270,16,1,-27.6,0.7633
271,42,0,-29.2,0.7625
272,15,1,-11.5,0.7618
273,7,0,-43.7,0.761
274,14,0,-26.4,0.7602
275,39,1,-33.9,0.7595
276,18,0,-31.8,0.7587
277,13,0,-42.3,0.7579
278,11,0,-47.1,0.7572
279,25,1,-16.5,0.7564
280,12,0,-38.2,0.7557
281,11,0,-52.1,0.7549
282,28,0,-36.8,0.7542
283,34,1,-26.4,0.7534
284,18,0,-54.8,0.7527
285,24,0,-42.4,0.7519
286,38,0,-35.8,0.7512
287,33,2,3.7,0.7504
288,16,0,-42.6,0.7497
289,22,1,-15.2,0.7489
290,16,0,-45.6,0.7482
291,27,0,-23.7,0.7474
292,8,0,-42.8,0.7467
293,36,1,-7.6,0.7459
294,22,0,-11.2,0.7452
295,33,1,-36.3,0.7444
296,42,2,-8.2,0.7437
297,14,1,-37.4,0.7429
298,23,0,-49.3,0.7422
299,38,0,-59.8,0.7414
300,17,0,-34.7,0.7407
301,7,0,-27.7,0.74
302,14,0,-35.4,0.7392
303,15,0,-41.5,0.7385
304,20,0,-25.0,0.7377
305,6,0,-36.6,0.737
306,33,2,11.7,0.7363
307,31,1,1.9,0.7355
308,33,0,-44.3,0.7348
309,17,0,-26.7,0.7341
310,9,0,-35.9,0.7333
311,23,0,-45.3,0.7326
312,19,0,-47.9,0.7319
313,6,0,-37.6,0.7311
314,17,0,-40.7,0.7304
315,23,1,-11.3,0.7297
316,12,0,-34.2,0.7289
317,25,0,-42.5,0.7282
318,49,1,-44.9,0.7275
319,8,0,-43.8,0.7268
320,15,0,-40.5,0.726
321,13,0,-33.3,0.7253
322,6,0,-36.6,0.7246
323,21,1,-6.1,0.7239
324,5,0,-35.5,0.7231
325,21,0,-49.1,0.7224
326,9,0,-30.9,0.7217
327,15,0,-30.5,0.721
328,35,0,-40.5,0.7202
329,37,1,-29.7,0.7195
330,55,4,24.5,0.7188
331,32,1,-35.2,0.7181
332,25,0,-36.5,0.7174
333,46,2,-15.6,0.7167
334,22,1,-6.2,0.7159
335,72,1,-4.2,0.7152
336,22,0,-44.2,0.7145
337,6,0,-43.6,0.7138
338,21,1,-14.1,0.7131
339,49,1,3.1,0.7124
340,25,0,-31.5,0.7116
341,23,2,1.7,0.7109
342,20,0,-32.0,0.7102
343,30,0,-64.0,0.7095
344,27,0,-34.7,0.7088
345,14,0,-49.4,0.7081
346,7,0,-41.7,0.7074
347,36,0,-6.6,0.7067
348,22,2,-13.2,0.706
349,11,0,-47.1,0.7053
350,10,0,-41.0,0.7046
351,24,1,-33.4,0.7039
352,19,0,-59.9,0.7032
353,12,0,-50.2,0.7025
354,41,0,-39.1,0.7018
355,22,0,-47.2,0.701
