round,steps,score,reward,epsilon
1,20,1,-22.0,0.999
2,14,0,-49.4,0.998
3,25,0,-33.5,0.997
4,14,0,-29.9,0.996
5,11,0,-42.6,0.995
6,24,1,-36.4,0.994
7,7,0,-49.7,0.993
8,21,0,-53.6,0.992
9,25,0,-51.5,0.991
10,7,0,-47.2,0.99
11,24,1,-20.9,0.9891
12,6,0,-39.1,0.9881
13,27,0,-41.7,0.9871
14,23,0,-40.3,0.9861
15,9,0,-51.9,0.9851
16,13,0,-43.3,0.9841
17,8,0,-41.8,0.9831
18,6,0,-43.6,0.9822
19,16,0,-28.1,0.9812
20,5,0,-50.5,0.9802
21,8,0,-42.8,0.9792
22,7,0,-42.2,0.9782
23,7,0,-25.2,0.9773
24,5,0,-41.5,0.9763
25,26,1,-34.6,0.9753
26,15,0,-33.5,0.9743
27,8,0,-43.3,0.9733
28,18,0,-38.8,0.9724
29,55,3,40.5,0.9714
30,12,0,-48.2,0.9704
31,12,0,-44.2,0.9695
32,8,0,-46.3,0.9685
33,22,1,-5.2,0.9675
34,7,0,-37.7,0.9666
35,28,2,-8.3,0.9656
36,6,0,-45.6,0.9646
37,21,0,-41.1,0.9637
38,6,0,-47.6,0.9627
39,5,0,-50.0,0.9617
40,26,0,-50.1,0.9608
41,8,0,-42.3,0.9598
42,25,1,-19.5,0.9588
43,6,0,-39.1,0.9579
44,7,0,-45.2,0.9569
45,27,0,-43.2,0.956
46,8,0,-28.3,0.955
47,8,0,-42.3,0.9541
48,58,1,4.2,0.9531
49,21,1,-20.1,0.9522
50,14,0,-32.9,0.9512
51,15,0,-51.5,0.9503
52,30,0,-30.5,0.9493
53,11,0,-40.1,0.9484
54,8,0,-39.8,0.9474
55,6,0,-44.1,0.9465
56,24,0,-28.9,0.9455
57,18,0,-43.3,0.9446
58,19,0,-30.9,0.9436
59,24,0,-27.4,0.9427
60,37,2,13.8,0.9417
61,34,1,-22.4,0.9408
62,48,1,18.7,0.9399
63,9,0,-44.9,0.9389
64,15,0,-29.5,0.938
65,22,0,-47.2,0.937
66,6,0,-48.6,0.9361
67,13,0,-51.8,0.9352
68,26,0,-46.6,0.9342
69,15,0,-37.0,0.9333
70,20,0,-39.0,0.9324
71,11,0,-49.6,0.9314
72,11,0,-41.6,0.9305
73,9,0,-39.4,0.9296
74,11,0,-46.1,0.9286
75,14,0,-50.4,0.9277
76,7,0,-44.7,0.9268
77,7,0,-45.7,0.9259
78,25,0,-56.5,0.9249
79,10,0,-50.5,0.924
80,55,2,-12.5,0.9231
81,47,2,7.3,0.9222
82,30,1,-14.5,0.9212
83,31,0,-60.6,0.9203
84,13,0,-35.3,0.9194
85,11,0,-34.1,0.9185
86,65,3,39.0,0.9176
87,16,0,-24.1,0.9166
88,14,0,-41.4,0.9157
89,24,0,-38.9,0.9148
90,31,2,8.9,0.9139
91,29,0,-47.9,0.913
92,24,0,-42.9,0.9121
93,13,0,-47.3,0.9112
94,6,0,-41.1,0.9102
95,6,0,-34.6,0.9093
96,8,0,-37.3,0.9084
97,5,0,-44.0,0.9075
98,43,2,11.2,0.9066
99,18,0,-35.8,0.9057
100,9,0,-40.9,0.9048
101,12,0,-36.2,0.9039
102,6,0,-47.6,0.903
103,24,0,-22.9,0.9021
104,13,0,-47.3,0.9012
105,30,1,-7.5,0.9003
106,26,0,-42.6,0.8994
107,6,0,-42.6,0.8985
108,13,0,-32.3,0.8976
109,16,0,-34.1,0.8967
110,25,1,-16.5,0.8958
111,8,0,-41.3,0.8949
112,51,1,-4.6,0.894
113,6,0,-39.1,0.8931
114,42,0,-48.7,0.8922
115,50,2,11.0,0.8913
116,10,0,-45.0,0.8904
117,9,0,-45.9,0.8895
118,7,0,-42.7,0.8886
119,20,0,-43.0,0.8878
120,8,0,-43.8,0.8869
121,6,0,-41.1,0.886
122,39,2,2.6,0.8851
123,25,0,-21.0,0.8842
124,22,0,-50.2,0.8833
125,48,4,6.2,0.8824
126,22,1,-15.7,0.8816
127,22,0,-33.2,0.8807
128,42,1,-10.7,0.8798
129,62,2,17.8,0.8789
130,24,0,-22.9,0.878
131,6,0,-41.1,0.8772
132,22,0,-26.7,0.8763
133,28,3,28.2,0.8754
134,23,1,-16.8,0.8745
135,18,0,-22.8,0.8737
136,17,0,-35.7,0.8728
137,22,0,-25.7,0.8719
138,63,1,-18.8,0.871
139,25,1,11.5,0.8702
140,6,0,-43.6,0.8693
141,46,1,-38.6,0.8684
142,7,0,-44.7,0.8676
143,20,0,-20.5,0.8667
144,14,0,-31.4,0.8658
145,11,0,-51.1,0.865
146,7,0,-38.2,0.8641
147,26,1,-21.6,0.8632
148,17,0,-33.2,0.8624
149,19,0,-46.9,0.8615
150,10,0,-43.5,0.8606
151,31,0,-45.6,0.8598
152,10,0,-49.0,0.8589
153,39,1,-28.4,0.8581
154,9,0,-43.4,0.8572
155,19,0,-40.4,0.8563
156,5,0,-44.0,0.8555
157,25,1,-20.5,0.8546
158,14,0,-42.9,0.8538
159,21,1,-21.1,0.8529
160,28,1,-17.3,0.8521
161,6,0,-42.6,0.8512
162,57,2,0.8,0.8504
163,33,0,-50.8,0.8495
164,9,0,-44.9,0.8487
165,32,1,-14.7,0.8478
166,99,3,17.1,0.847
167,6,0,-38.6,0.8461
168,7,0,-45.7,0.8453
169,26,2,-14.1,0.8444
170,45,0,-45.0,0.8436
171,19,0,-30.9,0.8427
172,7,0,-40.7,0.8419
173,6,0,-42.6,0.8411
174,24,0,-31.4,0.8402
175,29,0,-22.9,0.8394
176,61,1,-3.6,0.8385
177,22,0,-20.2,0.8377
178,10,0,-47.0,0.8369
179,7,0,-45.2,0.836
180,5,0,-42.5,0.8352
181,59,2,9.1,0.8344
182,14,0,-29.9,0.8335
183,45,0,-33.0,0.8327
184,34,1,-12.4,0.8319
185,14,0,-27.9,0.831
186,10,0,-47.0,0.8302
187,37,0,-32.2,0.8294
188,8,0,-38.3,0.8285
189,17,0,-41.2,0.8277
190,22,0,-44.2,0.8269
191,63,2,-27.8,0.8261
192,16,0,-34.6,0.8252
193,18,0,-49.8,0.8244
194,30,0,-32.5,0.8236
195,32,0,-39.2,0.8228
196,7,0,-46.7,0.8219
197,28,2,-17.8,0.8211
198,13,0,-44.3,0.8203
199,36,0,-35.6,0.8195
200,29,0,-39.9,0.8186
201,32,1,-26.2,0.8178
202,17,0,-29.7,0.817
203,19,0,-50.4,0.8162
204,12,0,-22.2,0.8154
205,63,1,-26.8,0.8146
206,23,0,-40.8,0.8137
207,9,0,-48.4,0.8129
208,14,0,-40.4,0.8121
209,46,1,-23.6,0.8113
210,15,0,-42.0,0.8105
211,6,0,-46.1,0.8097
212,5,0,-48.5,0.8089
213,13,0,-35.8,0.8081
214,26,0,-37.6,0.8073
215,7,0,-37.7,0.8065
216,47,2,9.3,0.8056
217,6,0,-42.6,0.8048
218,15,0,-38.5,0.804
219,12,0,-39.2,0.8032
220,11,0,-43.1,0.8024
221,14,0,-15.9,0.8016
222,17,1,-30.2,0.8008
223,25,0,-47.5,0.8
224,32,0,-23.7,0.7992
225,37,1,-37.2,0.7984
226,24,1,-12.9,0.7976
227,24,2,8.1,0.7968
228,28,1,-19.3,0.796
229,41,2,7.4,0.7952
230,26,0,-32.6,0.7944
231,89,2,13.1,0.7936
232,7,0,-38.7,0.7929
233,24,0,-28.9,0.7921
234,21,0,-34.1,0.7913
235,47,1,-26.2,0.7905
236,24,0,-24.4,0.7897
237,32,0,-44.2,0.7889
238,32,1,-27.2,0.7881
239,23,0,-34.3,0.7873
240,9,0,-46.9,0.7865
241,8,0,-43.3,0.7857
242,21,0,-48.1,0.785
243,25,0,-30.5,0.7842
244,50,4,41.0,0.7834
245,8,0,-47.8,0.7826
246,38,0,-43.8,0.7818
247,11,0,-50.1,0.781
248,35,1,-13.0,0.7803
249,15,0,-35.0,0.7795
250,33,0,-42.8,0.7787
251,9,0,-42.4,0.7779
252,9,0,-45.9,0.7771
253,38,1,-1.8,0.7764
254,86,2,-6.6,0.7756
255,22,0,-44.2,0.7748
256,6,0,-47.6,0.774
257,5,0,-43.0,0.7733
