round,steps,score,reward,epsilon
1,12,0,-57.7,0.9998
2,33,2,20.2,0.9996
3,23,1,-6.3,0.9994
4,66,1,29.4,0.9992
5,12,0,-41.2,0.999
6,18,0,-40.8,0.9988
7,13,0,-30.8,0.9986
8,25,1,-4.5,0.9984
9,10,0,-31.0,0.9982
10,23,0,-33.3,0.998
11,13,2,-4.8,0.9978
12,7,0,-45.2,0.9976
13,17,0,-39.2,0.9974
14,23,1,-15.8,0.9972
15,9,0,-46.9,0.997
16,14,0,-56.4,0.9968
17,17,0,-33.7,0.9966
18,8,0,-44.3,0.9964
19,11,0,-47.6,0.9962
20,33,1,-18.3,0.996
21,21,0,-45.6,0.9958
22,17,0,-46.7,0.9956
23,15,0,-37.0,0.9954
24,8,0,-47.3,0.9952
25,15,1,-22.0,0.995
26,5,0,-49.5,0.9948
27,18,0,-28.3,0.9946
28,45,0,-26.5,0.9944
29,12,0,-49.2,0.9942
30,7,0,-34.2,0.994
31,22,0,-39.7,0.9938
32,30,0,-23.0,0.9936
33,17,0,-29.7,0.9934
34,7,0,-36.2,0.9932
35,44,0,-11.4,0.993
36,18,0,-57.3,0.9928
37,29,0,-42.9,0.9926
38,27,1,-32.2,0.9924
39,6,0,-40.6,0.9922
40,5,0,-38.5,0.992
41,20,0,-35.5,0.9918
42,6,0,-41.1,0.9916
43,29,0,-26.9,0.9914
44,6,0,-39.1,0.9912
45,15,0,-31.0,0.991
46,15,0,-39.0,0.9908
47,22,0,-59.7,0.9906
48,20,0,-50.5,0.9904
49,27,0,-38.2,0.9902
50,20,2,-21.5,0.99
51,8,0,-46.3,0.9899
52,17,0,-41.2,0.9897
53,7,0,-38.2,0.9895
54,29,1,-30.4,0.9893
55,15,0,-51.5,0.9891
56,15,0,-38.5,0.9889
57,8,0,-49.3,0.9887
58,6,0,-46.6,0.9885
59,15,0,-28.0,0.9883
60,56,1,10.4,0.9881
61,8,0,-39.8,0.9879
62,6,0,-36.6,0.9877
63,49,0,-50.9,0.9875
64,6,0,-46.1,0.9873
65,21,1,-32.6,0.9871
66,17,0,-31.7,0.9869
67,28,0,-56.3,0.9867
68,24,0,-30.4,0.9865
69,12,0,-47.7,0.9863
70,12,0,-45.2,0.9861
71,6,0,-48.6,0.9859
72,36,0,-22.1,0.9857
73,15,0,-18.0,0.9855
74,9,0,-42.9,0.9853
75,8,0,-41.8,0.9851
76,9,0,-41.4,0.9849
77,31,2,7.9,0.9847
78,28,1,-21.8,0.9845
79,30,0,-27.0,0.9843
80,7,0,-50.7,0.9841
81,14,0,-24.9,0.9839
82,16,0,-29.6,0.9837
83,7,0,-40.7,0.9835
84,6,0,-41.1,0.9833
85,42,3,24.3,0.9831
86,19,1,-21.9,0.9829
87,6,0,-43.6,0.9827
88,18,0,-32.8,0.9826
89,10,0,-38.5,0.9824
90,21,0,-27.6,0.9822
91,15,0,-31.0,0.982
92,26,0,-50.6,0.9818
93,14,0,-44.4,0.9816
94,75,3,31.5,0.9814
95,6,0,-42.1,0.9812
96,15,0,-47.5,0.981
97,11,0,-44.6,0.9808
98,23,1,-34.8,0.9806
99,6,0,-40.6,0.9804
100,11,0,-45.6,0.9802
