round,steps,score,reward,epsilon
1,8,0,-48.3,0.9998
2,10,0,-49.5,0.9996
3,21,0,-39.1,0.9994
4,31,0,-48.6,0.9992
5,18,0,-49.8,0.999
6,10,0,-45.5,0.9988
7,10,0,-44.5,0.9986
8,12,0,-46.2,0.9984
9,13,0,-34.8,0.9982
10,38,0,-55.3,0.998
11,9,0,-47.9,0.9978
12,8,0,-45.3,0.9976
13,8,0,-48.3,0.9974
14,45,0,-33.5,0.9972
15,22,0,-51.7,0.997
16,20,0,-21.0,0.9968
17,24,0,-34.4,0.9966
18,21,0,-48.6,0.9964
19,17,0,-33.7,0.9962
20,26,0,-44.1,0.996
21,19,0,-47.4,0.9958
22,40,0,-44.0,0.9956
23,5,0,-40.5,0.9954
24,21,0,-35.6,0.9952
25,22,0,-45.2,0.995
26,16,0,-41.6,0.9948
27,12,0,-47.2,0.9946
28,9,0,-44.4,0.9944
29,27,0,-40.7,0.9942
30,31,0,-36.6,0.994
31,15,0,-51.5,0.9938
32,40,0,-24.0,0.9936
33,10,0,-38.0,0.9934
34,19,0,-51.4,0.9932
35,14,0,-32.9,0.993
36,19,0,-48.4,0.9928
37,11,0,-48.1,0.9926
38,16,0,-37.6,0.9924
39,19,0,-47.4,0.9922
40,25,0,-27.5,0.992
41,20,0,-52.5,0.9918
42,10,0,-49.0,0.9916
43,22,0,-41.7,0.9914
44,38,1,-39.8,0.9912
45,10,0,-42.0,0.991
46,29,0,-36.9,0.9908
47,6,0,-39.6,0.9906
48,14,0,-34.4,0.9904
49,9,0,-46.4,0.9902
50,6,0,-41.6,0.99
51,17,0,-52.2,0.9899
52,10,0,-35.5,0.9897
53,15,0,-38.5,0.9895
54,12,0,-27.2,0.9893
55,6,0,-39.1,0.9891
56,35,0,-41.5,0.9889
57,41,0,-40.1,0.9887
58,31,0,-34.1,0.9885
59,22,0,-44.7,0.9883
60,23,0,-35.8,0.9881
61,17,0,-41.7,0.9879
62,16,0,-43.6,0.9877
63,12,0,-46.2,0.9875
64,6,0,-45.6,0.9873
65,11,0,-47.1,0.9871
66,7,0,-43.2,0.9869
67,33,0,-50.3,0.9867
68,9,0,-36.9,0.9865
69,25,0,-29.0,0.9863
70,16,0,-52.1,0.9861
71,28,0,-44.3,0.9859
72,21,0,-58.1,0.9857
73,28,0,-33.3,0.9855
74,11,0,-46.1,0.9853
75,15,0,-37.5,0.9851
76,12,0,-42.2,0.9849
77,11,0,-50.1,0.9847
78,5,0,-46.5,0.9845
79,37,0,-37.7,0.9843
80,9,0,-47.9,0.9841
