round,steps,score,reward,epsilon
1,16,0,-23.6,0.9999
2,17,0,-36.7,0.9998
3,10,0,-43.5,0.9997
4,66,0,-53.1,0.9996
5,17,0,-34.7,0.9995
6,8,0,-42.3,0.9994
7,18,0,-41.3,0.9993
8,8,0,-44.8,0.9992
9,32,0,-48.2,0.9991
10,6,0,-43.1,0.999
11,33,0,-48.8,0.9989
12,9,0,-46.4,0.9988
13,9,0,-44.9,0.9987
14,31,0,-37.1,0.9986
15,14,0,-38.4,0.9985
16,21,0,-53.6,0.9984
17,33,0,-65.8,0.9983
18,23,0,-58.3,0.9982
19,8,0,-46.8,0.9981
20,22,0,-48.2,0.998
21,13,0,-47.8,0.9979
22,29,1,-17.4,0.9978
23,7,0,-46.7,0.9977
24,6,0,-55.6,0.9976
25,8,0,-44.8,0.9975
26,22,0,-30.2,0.9974
27,15,0,-31.0,0.9973
28,10,0,-33.0,0.9972
29,11,0,-49.6,0.9971
30,13,0,-52.3,0.997
31,39,0,-29.4,0.9969
32,6,0,-41.6,0.9968
33,23,0,-41.3,0.9967
34,8,0,-44.8,0.9966
35,6,0,-45.6,0.9965
36,21,0,-44.6,0.9964
37,15,0,-49.5,0.9963
38,11,0,-45.1,0.9962
39,20,0,-44.0,0.9961
40,7,0,-45.2,0.996
41,6,0,-39.1,0.9959
42,24,0,-42.9,0.9958
43,26,0,-32.6,0.9957
44,6,0,-47.1,0.9956
45,17,0,-26.2,0.9955
46,7,0,-45.2,0.9954
47,26,0,-39.1,0.9953
48,6,0,-43.1,0.9952
49,36,0,-30.1,0.9951
50,10,0,-44.5,0.995
51,26,0,-21.1,0.9949
52,18,0,-41.8,0.9948
53,13,0,-40.3,0.9947
54,16,0,-45.1,0.9946
55,15,0,-50.5,0.9945
56,33,0,-26.3,0.9944
57,15,0,-48.0,0.9943
58,15,0,-54.5,0.9942
59,21,0,-42.6,0.9941
60,21,0,-50.6,0.994
61,6,0,-42.6,0.9939
62,9,0,-47.4,0.9938
