round,steps,score,reward,epsilon
1,17,0,-20.2,0.9999
2,38,0,-36.3,0.9998
3,14,0,-45.9,0.9997
4,16,0,-48.6,0.9996
5,17,0,-35.2,0.9995
6,26,0,-24.6,0.9994
7,9,0,-40.4,0.9993
8,26,0,-42.6,0.9992
9,10,0,-43.5,0.9991
10,9,0,-46.4,0.999
11,28,0,-25.3,0.9989
12,7,0,-43.7,0.9988
13,10,0,-46.5,0.9987
14,10,0,-44.0,0.9986
15,9,0,-44.9,0.9985
16,13,0,-50.8,0.9984
17,12,0,-48.2,0.9983
18,7,0,-44.2,0.9982
19,11,0,-45.1,0.9981
20,11,0,-51.6,0.998
21,7,0,-47.2,0.9979
22,22,0,-38.7,0.9978
23,33,0,-31.8,0.9977
24,25,0,-45.5,0.9976
25,40,0,-31.0,0.9975
26,33,0,-38.8,0.9974
27,6,0,-46.1,0.9973
28,7,0,-48.7,0.9972
29,17,0,-42.7,0.9971
30,7,0,-46.7,0.997
31,12,0,-40.7,0.9969
32,47,0,-65.2,0.9968
33,8,0,-43.8,0.9967
34,13,0,-39.3,0.9966
35,25,0,-32.0,0.9965
36,19,0,-49.4,0.9964
37,8,0,-49.3,0.9963
38,6,0,-45.6,0.9962
39,9,0,-45.9,0.9961
40,11,0,-48.6,0.996
41,52,0,-10.2,0.9959
42,13,0,-53.8,0.9958
43,43,0,-36.8,0.9957
44,21,0,-48.6,0.9956
45,32,1,-35.7,0.9955
46,15,0,-45.0,0.9954
47,28,0,-45.3,0.9953
48,20,0,-42.5,0.9952
49,23,0,-40.8,0.9951
50,35,0,-23.5,0.995
51,24,0,-55.4,0.9949
52,12,0,-52.2,0.9948
53,27,0,-46.2,0.9947
54,5,0,-46.5,0.9946
55,14,0,-31.9,0.9945
56,36,0,-50.1,0.9944
57,7,0,-41.2,0.9943
58,61,1,-25.1,0.9942
59,33,0,-51.3,0.9941
60,24,0,-38.9,0.994
61,8,0,-41.3,0.9939
62,6,0,-38.6,0.9938
63,16,0,-42.6,0.9937
64,120,0,-6.5,0.9936
65,14,0,-43.9,0.9935
66,61,0,28.4,0.9934
67,47,0,-23.2,0.9933
68,10,0,-48.5,0.9932
69,30,0,-46.5,0.9931
70,15,0,-43.0,0.993
71,18,0,-37.3,0.9929
72,14,0,-41.4,0.9928
73,8,0,-46.3,0.9927
74,31,0,-49.1,0.9926
75,26,0,-47.1,0.9925
76,16,0,-41.1,0.9924
