round,steps,score,reward,epsilon
1,31,0,-34.1,0.9999
2,8,0,-39.3,0.9998
3,14,0,-52.4,0.9997
4,6,0,-42.6,0.9996
5,7,0,-47.2,0.9995
6,7,0,-42.7,0.9994
7,23,0,-36.3,0.9993
8,6,0,-45.6,0.9992
9,24,0,-22.4,0.9991
10,23,0,-31.8,0.999
11,16,0,-37.6,0.9989
12,14,0,-45.4,0.9988
13,23,0,-52.8,0.9987
14,6,0,-46.1,0.9986
15,8,0,-49.3,0.9985
16,22,0,-41.7,0.9984
17,34,0,-39.9,0.9983
18,11,0,-38.6,0.9982
19,27,0,-47.2,0.9981
20,13,0,-47.3,0.998
21,17,0,-37.7,0.9979
22,6,0,-46.6,0.9978
23,39,0,-36.4,0.9977
24,14,0,-28.9,0.9976
25,36,0,-52.1,0.9975
26,33,0,-45.3,0.9974
27,39,0,-14.9,0.9973
28,36,0,-33.6,0.9972
29,24,0,-16.4,0.9971
30,25,0,-55.5,0.997
31,29,0,-18.4,0.9969
32,16,0,-52.6,0.9968
33,36,0,-33.1,0.9967
34,19,0,-43.4,0.9966
35,14,0,-49.9,0.9965
36,5,0,-43.5,0.9964
37,51,1,-25.1,0.9963
38,15,0,-52.0,0.9962
39,6,0,-43.1,0.9961
40,14,0,-47.9,0.996
41,8,0,-47.8,0.9959
42,15,0,-50.0,0.9958
43,29,0,-54.4,0.9957
44,84,0,-48.4,0.9956
45,21,0,-48.6,0.9955
46,13,0,-36.8,0.9954
47,12,0,-38.7,0.9953
48,6,0,-41.6,0.9952
49,27,0,-55.7,0.9951
50,38,0,-51.3,0.995
51,15,0,-42.5,0.9949
52,10,0,-48.5,0.9948
53,6,0,-46.1,0.9947
54,7,0,-44.2,0.9946
55,13,0,-34.8,0.9945
56,5,0,-40.5,0.9944
57,18,0,-35.8,0.9943
58,11,0,-52.6,0.9942
59,19,0,-50.9,0.9941
60,23,0,-49.3,0.994
61,29,0,-38.4,0.9939
62,48,1,-10.3,0.9938
63,18,0,-44.8,0.9937
64,7,0,-44.2,0.9936
65,6,0,-47.1,0.9935
66,37,0,-20.2,0.9934
67,13,0,-36.8,0.9933
68,24,0,-20.4,0.9932
69,27,0,-50.2,0.9931
70,14,0,-50.4,0.993
71,8,0,-46.8,0.9929
72,20,0,-48.5,0.9928
73,11,0,-45.6,0.9927
74,30,1,-14.5,0.9926
75,35,0,-43.0,0.9925
76,7,0,-44.2,0.9924
77,37,0,-26.7,0.9923
78,27,0,-45.7,0.9922
79,68,1,-15.8,0.9921
80,6,0,-44.6,0.992
81,72,0,-24.7,0.9919
82,7,0,-36.2,0.9918
83,8,0,-38.3,0.9917
84,16,0,-42.1,0.9916
85,15,0,-42.5,0.9915
86,7,0,-46.7,0.9914
87,6,0,-48.6,0.9913
88,13,0,-37.3,0.9912
89,16,0,-47.6,0.9911
90,17,0,-35.7,0.991
91,7,0,-44.2,0.9909
92,13,0,-50.8,0.9908
93,36,0,-38.6,0.9907
94,16,0,-52.1,0.9906
95,39,1,-30.4,0.9905
96,5,0,-44.5,0.9904
97,7,0,-44.7,0.9903
98,26,0,-36.6,0.9902
99,6,0,-45.6,0.9901
100,13,0,-38.3,0.99
101,8,0,-46.3,0.99
102,7,0,-44.7,0.9899
103,15,0,-40.0,0.9898
104,17,0,-45.2,0.9897
105,27,0,-43.2,0.9896
106,15,0,-41.5,0.9895
107,22,0,-35.2,0.9894
108,23,0,-25.3,0.9893
109,19,0,-38.9,0.9892
110,15,0,-42.5,0.9891
111,16,0,-45.1,0.989
112,6,0,-41.6,0.9889
113,23,0,-38.3,0.9888
114,14,0,-44.4,0.9887
115,69,1,-22.9,0.9886
116,6,0,-43.1,0.9885
117,8,0,-43.8,0.9884
118,18,0,-25.8,0.9883
119,13,0,-48.8,0.9882
120,13,0,-54.3,0.9881
121,26,0,-32.1,0.988
122,36,0,-38.1,0.9879
123,33,0,-26.8,0.9878
124,15,0,-30.0,0.9877
125,9,0,-52.9,0.9876
126,39,0,-49.4,0.9875
127,17,0,-32.7,0.9874
128,9,0,-46.4,0.9873
129,11,0,-45.1,0.9872
130,121,0,-41.1,0.9871
131,23,0,-40.8,0.987
132,14,0,-44.4,0.9869
133,12,0,-46.2,0.9868
134,35,1,-8.0,0.9867
135,16,0,-41.1,0.9866
136,18,0,-42.8,0.9865
137,7,0,-49.7,0.9864
138,30,0,-37.5,0.9863
139,22,0,-49.7,0.9862
140,8,0,-47.8,0.9861
141,56,0,-45.6,0.986
142,33,0,-21.8,0.9859
143,7,0,-44.2,0.9858
144,6,0,-43.1,0.9857
145,8,0,-43.8,0.9856
146,31,1,-32.1,0.9855
147,29,0,-44.4,0.9854
148,57,1,-15.7,0.9853
149,6,0,-45.6,0.9852
150,19,0,-52.9,0.9851
151,31,0,-49.6,0.985
152,5,0,-46.5,0.9849
153,19,0,-41.9,0.9848
154,41,1,-17.6,0.9847
155,14,0,-39.9,0.9846
156,79,0,-52.4,0.9845
157,19,0,-50.9,0.9844
158,12,0,-46.7,0.9843
159,39,0,-27.4,0.9842
160,20,0,-49.5,0.9841
161,11,0,-45.1,0.984
162,20,0,-42.0,0.9839
163,24,0,-45.4,0.9838
164,19,0,-38.4,0.9837
165,14,0,-39.4,0.9836
166,16,0,-36.1,0.9835
167,7,0,-35.2,0.9834
168,6,0,-48.6,0.9833
169,19,0,-45.9,0.9832
170,17,0,-52.2,0.9831
171,18,0,-46.3,0.983
172,10,0,-38.5,0.9829
173,10,0,-50.5,0.9828
174,12,0,-46.2,0.9827
175,27,0,-19.7,0.9827
176,17,0,-52.2,0.9826
177,12,0,-49.2,0.9825
178,7,0,-46.7,0.9824
179,10,0,-50.5,0.9823
180,23,0,-43.3,0.9822
181,55,0,-47.0,0.9821
182,68,1,10.7,0.982
183,24,0,-50.4,0.9819
184,20,0,-45.0,0.9818
185,12,0,-45.7,0.9817
186,23,0,-37.3,0.9816
187,16,0,-46.6,0.9815
188,38,0,-26.3,0.9814
189,8,0,-41.8,0.9813
190,9,0,-42.9,0.9812
191,23,0,-27.3,0.9811
192,6,0,-42.6,0.981
193,11,0,-47.6,0.9809
194,47,1,-3.7,0.9808
195,17,0,-32.2,0.9807
196,39,0,-12.4,0.9806
197,19,0,-40.9,0.9805
198,15,0,-50.0,0.9804
199,7,0,-48.7,0.9803
200,13,0,-42.3,0.9802
201,40,0,-30.0,0.9801
202,15,0,-44.0,0.98
203,15,0,-37.0,0.9799
204,46,0,-37.6,0.9798
205,15,0,-37.5,0.9797
206,13,0,-51.8,0.9796
207,6,0,-46.1,0.9795
208,18,0,-43.8,0.9794
209,5,0,-43.5,0.9793
210,8,0,-43.3,0.9792
211,7,0,-47.2,0.9791
212,32,0,-25.2,0.979
213,10,0,-48.0,0.9789
214,50,0,-49.5,0.9788
215,5,0,-46.5,0.9787
216,19,0,-44.9,0.9786
217,32,0,-37.2,0.9785
218,36,0,-70.1,0.9784
219,7,0,-47.7,0.9783
220,18,0,-39.8,0.9782
221,7,0,-47.2,0.9781
222,19,0,-42.9,0.978
223,23,0,-38.3,0.9779
224,33,1,-25.8,0.9778
225,16,0,-27.1,0.9778
226,47,0,-36.7,0.9777
227,10,0,-46.0,0.9776
228,18,0,-50.8,0.9775
229,14,0,-48.9,0.9774
230,36,0,-34.1,0.9773
231,38,0,-44.8,0.9772
232,18,0,-38.3,0.9771
233,24,0,-34.9,0.977
234,19,0,-45.9,0.9769
235,12,0,-48.2,0.9768
236,25,0,-35.0,0.9767
237,22,0,-42.2,0.9766
238,25,0,-48.0,0.9765
239,9,0,-47.9,0.9764
240,7,0,-43.7,0.9763
241,60,0,-47.0,0.9762
242,14,0,-33.9,0.9761
243,19,0,-51.4,0.976
244,25,0,-46.5,0.9759
245,6,0,-44.1,0.9758
246,7,0,-34.2,0.9757
247,5,0,-44.5,0.9756
248,24,0,-45.4,0.9755
249,11,0,-44.6,0.9754
250,13,0,-50.8,0.9753
251,61,0,-52.6,0.9752
252,14,0,-46.4,0.9751
253,29,0,-46.4,0.975
254,10,0,-47.5,0.9749
255,7,0,-45.7,0.9748
256,19,1,-1.4,0.9747
257,39,0,-22.9,0.9746
258,17,0,-52.2,0.9745
259,20,0,-39.0,0.9744
260,15,0,-36.0,0.9743
261,19,0,-36.4,0.9742
262,21,0,-45.1,0.9741
263,11,0,-43.1,0.974
264,9,0,-45.9,0.9739
265,36,0,-68.1,0.9738
266,25,0,-46.0,0.9737
267,17,0,-41.7,0.9737
268,38,1,-42.8,0.9736
269,29,0,-39.9,0.9735
270,21,0,-31.1,0.9734
271,22,0,-32.7,0.9733
272,25,0,-27.0,0.9732
273,42,0,-48.2,0.9731
274,18,0,-39.8,0.973
275,49,1,-36.4,0.9729
276,6,0,-44.6,0.9728
277,6,0,-41.6,0.9727
278,18,0,-38.8,0.9726
279,9,0,-46.4,0.9725
280,24,0,-45.9,0.9724
281,19,0,-43.4,0.9723
