round,steps,score,reward,epsilon
1,21,0,-43.6,0.9999
2,5,0,-40.5,0.9998
3,27,0,-41.2,0.9997
4,8,0,-45.3,0.9996
5,33,0,-42.3,0.9995
6,40,0,-42.5,0.9994
7,32,0,-50.7,0.9993
8,32,0,-34.2,0.9992
9,14,0,-38.4,0.9991
10,26,0,-55.1,0.999
11,41,0,-40.1,0.9989
12,12,0,-45.2,0.9988
13,10,0,-44.5,0.9987
14,7,0,-42.7,0.9986
15,36,0,-33.6,0.9985
16,9,0,-45.9,0.9984
17,31,0,-73.1,0.9983
18,13,0,-44.3,0.9982
19,14,0,-31.9,0.9981
20,47,0,-25.2,0.998
21,11,0,-48.6,0.9979
22,6,0,-42.6,0.9978
23,13,0,-37.3,0.9977
24,7,0,-49.7,0.9976
25,23,0,-42.8,0.9975
26,6,0,-41.1,0.9974
27,23,0,-46.3,0.9973
28,28,0,-48.3,0.9972
29,8,0,-32.8,0.9971
30,8,0,-44.8,0.997
31,14,0,-45.4,0.9969
32,24,0,-36.9,0.9968
33,9,0,-42.4,0.9967
34,27,0,-47.2,0.9966
35,8,0,-48.8,0.9965
36,8,0,-51.8,0.9964
37,43,1,-26.3,0.9963
38,17,0,-43.7,0.9962
39,6,0,-41.1,0.9961
40,26,1,-14.1,0.996
41,7,0,-44.2,0.9959
42,37,0,-48.2,0.9958
43,6,0,-46.6,0.9957
44,27,0,-46.7,0.9956
45,72,0,-36.2,0.9955
46,19,0,-26.9,0.9954
47,7,0,-50.2,0.9953
48,24,0,-25.9,0.9952
49,6,0,-42.6,0.9951
50,6,0,-46.1,0.995
51,6,0,-48.6,0.9949
52,14,0,-33.4,0.9948
53,6,0,-43.1,0.9947
54,22,0,-35.7,0.9946
55,7,0,-48.2,0.9945
56,8,0,-34.8,0.9944
57,8,0,-44.8,0.9943
58,7,0,-43.7,0.9942
59,27,0,-31.2,0.9941
60,14,0,-37.9,0.994
61,24,0,-46.9,0.9939
62,13,0,-16.8,0.9938
63,22,0,-44.2,0.9937
64,11,0,-51.6,0.9936
65,6,0,-43.1,0.9935
66,23,0,-28.8,0.9934
67,7,0,-47.2,0.9933
68,11,0,-38.6,0.9932
69,26,0,-30.6,0.9931
70,10,0,-44.0,0.993
71,16,0,-37.1,0.9929
72,39,1,-20.4,0.9928
73,28,1,-34.3,0.9927
74,20,0,-48.0,0.9926
75,19,0,-31.4,0.9925
76,22,0,-27.7,0.9924
77,19,0,-40.9,0.9923
78,6,0,-43.1,0.9922
79,24,0,-44.4,0.9921
80,6,0,-49.6,0.992
81,22,0,-43.2,0.9919
82,16,0,-35.6,0.9918
83,11,0,-49.6,0.9917
84,21,0,-32.1,0.9916
85,9,0,-50.9,0.9915
86,28,1,-10.3,0.9914
87,8,0,-41.8,0.9913
88,13,0,-45.8,0.9912
89,7,0,-45.7,0.9911
90,16,0,-35.6,0.991
91,26,0,-39.6,0.9909
92,15,0,-38.0,0.9908
93,16,0,-44.1,0.9907
94,11,0,-47.1,0.9906
95,14,0,-43.9,0.9905
96,19,0,-56.9,0.9904
97,10,0,-37.0,0.9903
98,34,0,-33.9,0.9902
99,16,0,-43.6,0.9901
100,24,0,-26.9,0.99
101,17,0,-39.7,0.99
102,18,0,-44.3,0.9899
103,11,0,-43.6,0.9898
104,52,1,-4.2,0.9897
105,42,1,7.3,0.9896
106,25,0,-49.0,0.9895
107,29,0,-48.4,0.9894
108,10,0,-43.0,0.9893
109,7,0,-47.7,0.9892
110,24,0,-29.4,0.9891
111,42,0,-50.2,0.989
112,23,0,-40.8,0.9889
113,16,0,-44.1,0.9888
114,25,0,-36.0,0.9887
115,55,0,-0.0,0.9886
116,16,1,-26.1,0.9885
117,32,0,-54.7,0.9884
118,25,0,-49.0,0.9883
119,7,0,-34.7,0.9882
120,36,0,-51.1,0.9881
121,8,0,-45.3,0.988
122,11,0,-48.1,0.9879
123,15,0,-41.5,0.9878
124,41,0,-50.6,0.9877
125,32,0,-51.7,0.9876
126,34,0,-46.4,0.9875
127,6,0,-48.6,0.9874
128,7,0,-42.2,0.9873
129,21,0,-46.1,0.9872
130,7,0,-36.2,0.9871
131,28,0,-40.3,0.987
132,17,0,-35.2,0.9869
133,6,0,-40.6,0.9868
134,8,0,-44.8,0.9867
135,26,0,-46.1,0.9866
136,16,0,-33.1,0.9865
137,9,0,-41.4,0.9864
138,19,0,-52.4,0.9863
139,20,0,-42.0,0.9862
140,16,0,-51.6,0.9861
141,18,0,-44.3,0.986
142,16,0,-39.1,0.9859
143,14,0,-48.4,0.9858
144,20,0,-52.0,0.9857
145,10,0,-50.5,0.9856
146,18,0,-44.3,0.9855
147,26,0,-27.1,0.9854
148,8,0,-44.8,0.9853
149,7,0,-43.2,0.9852
