round,steps,score,reward,epsilon
1,23,0,-54.8,0.9999
2,17,0,-44.2,0.9998
3,8,0,-46.8,0.9997
4,20,0,-48.0,0.9996
5,17,0,-37.7,0.9995
6,7,0,-36.7,0.9994
7,10,0,-49.0,0.9993
8,7,0,-50.2,0.9992
9,20,0,-55.0,0.9991
10,8,0,-41.3,0.999
11,7,0,-32.2,0.9989
12,22,0,-49.2,0.9988
13,36,0,-56.1,0.9987
14,7,0,-47.2,0.9986
15,40,0,-35.5,0.9985
16,15,0,-40.0,0.9984
17,8,0,-46.3,0.9983
18,23,0,-45.8,0.9982
19,6,0,-41.1,0.9981
20,8,0,-43.3,0.998
21,19,0,-42.4,0.9979
22,52,0,-44.2,0.9978
23,31,0,-52.6,0.9977
24,6,0,-43.1,0.9976
25,19,0,-34.9,0.9975
26,17,0,-40.7,0.9974
27,19,0,-48.4,0.9973
28,25,0,-49.5,0.9972
29,6,0,-43.1,0.9971
30,9,0,-42.4,0.997
31,19,0,-31.9,0.9969
32,19,1,-32.4,0.9968
33,17,0,-30.2,0.9967
34,13,0,-47.3,0.9966
35,55,0,-34.0,0.9965
36,9,0,-44.9,0.9964
37,13,0,-39.8,0.9963
38,13,0,-28.8,0.9962
39,15,0,-25.5,0.9961
40,35,1,-20.5,0.996
41,21,0,-39.1,0.9959
42,17,0,-33.7,0.9958
43,18,0,-36.8,0.9957
44,35,0,-48.5,0.9956
45,8,0,-43.3,0.9955
46,12,0,-48.2,0.9954
47,15,0,-38.0,0.9953
48,20,0,-50.0,0.9952
49,22,0,-38.2,0.9951
50,8,0,-45.3,0.995
51,25,0,-50.5,0.9949
52,22,0,-26.7,0.9948
53,31,0,-31.1,0.9947
54,14,0,-50.4,0.9946
55,34,0,-58.4,0.9945
56,9,0,-50.9,0.9944
57,31,0,-41.6,0.9943
58,18,0,-36.8,0.9942
59,13,0,-47.8,0.9941
60,9,0,-38.9,0.994
61,7,0,-47.2,0.9939
62,32,0,-37.7,0.9938
63,5,0,-45.5,0.9937
64,6,0,-43.1,0.9936
65,35,0,-44.5,0.9935
66,30,0,-51.0,0.9934
67,18,0,-43.3,0.9933
68,16,0,-40.1,0.9932
69,8,0,-33.8,0.9931
70,51,0,-37.6,0.993
71,16,0,-39.1,0.9929
72,30,0,-31.5,0.9928
73,23,0,-41.8,0.9927
74,21,0,-51.1,0.9926
75,10,0,-47.0,0.9925
76,10,0,-45.5,0.9924
77,12,0,-52.7,0.9923
78,16,0,-49.1,0.9922
79,8,0,-46.3,0.9921
80,18,0,-39.8,0.992
81,19,0,-43.4,0.9919
82,7,0,-43.7,0.9918
83,33,0,-44.3,0.9917
84,16,0,-40.6,0.9916
85,5,0,-49.5,0.9915
86,8,0,-41.3,0.9914
87,41,0,-32.1,0.9913
88,26,0,-44.6,0.9912
89,7,0,-42.2,0.9911
90,20,0,-39.0,0.991
91,13,0,-50.8,0.9909
92,24,0,-47.9,0.9908
93,42,0,-46.2,0.9907
94,5,0,-42.5,0.9906
95,5,0,-48.5,0.9905
96,7,0,-42.7,0.9904
97,33,0,-33.3,0.9903
98,7,0,-44.2,0.9902
99,7,0,-43.7,0.9901
100,15,0,-39.5,0.99
101,21,0,-40.6,0.99
102,6,0,-45.6,0.9899
103,22,0,-43.2,0.9898
104,27,0,-24.7,0.9897
105,20,0,-51.0,0.9896
106,9,0,-46.4,0.9895
107,25,1,-19.0,0.9894
108,26,0,-51.1,0.9893
109,6,0,-44.1,0.9892
110,16,0,-39.1,0.9891
111,13,0,-47.8,0.989
112,48,0,-64.8,0.9889
113,22,0,-48.7,0.9888
114,6,0,-42.6,0.9887
115,28,0,-44.8,0.9886
116,33,0,-33.3,0.9885
117,6,0,-46.6,0.9884
118,14,0,-42.9,0.9883
119,33,1,-41.3,0.9882
120,8,0,-46.8,0.9881
121,13,0,-34.8,0.988
122,17,0,-51.2,0.9879
123,8,0,-43.8,0.9878
124,14,0,-40.4,0.9877
125,14,0,-37.4,0.9876
126,15,0,-38.0,0.9875
127,18,0,-36.3,0.9874
128,6,0,-43.1,0.9873
129,6,0,-48.6,0.9872
130,5,0,-41.5,0.9871
131,11,0,-47.1,0.987
132,18,0,-43.3,0.9869
133,12,0,-45.7,0.9868
134,22,0,-36.7,0.9867
135,28,0,-48.3,0.9866
136,55,0,-39.0,0.9865
137,19,0,-37.4,0.9864
138,22,0,-46.7,0.9863
139,17,0,-33.7,0.9862
140,11,0,-44.1,0.9861
141,51,0,-28.1,0.986
142,23,0,-27.3,0.9859
143,7,0,-42.7,0.9858
144,6,0,-42.6,0.9857
145,32,0,-56.7,0.9856
146,5,0,-45.0,0.9855
147,49,0,-36.4,0.9854
148,5,0,-46.5,0.9853
149,14,0,-46.9,0.9852
150,21,0,-41.6,0.9851
151,13,0,-32.8,0.985
152,23,0,-42.8,0.9849
153,8,0,-43.3,0.9848
154,41,0,-34.1,0.9847
155,52,1,-32.2,0.9846
156,36,0,-39.1,0.9845
157,30,0,-45.5,0.9844
158,7,0,-48.7,0.9843
159,9,0,-46.4,0.9842
160,44,1,-18.4,0.9841
161,63,1,5.2,0.984
162,7,0,-44.2,0.9839
163,8,0,-43.3,0.9838
164,23,0,-38.3,0.9837
165,51,0,-39.1,0.9836
166,16,0,-50.6,0.9835
167,20,0,-37.5,0.9834
168,15,0,-41.0,0.9833
169,17,0,-54.7,0.9832
170,28,0,-49.3,0.9831
171,17,0,-41.2,0.983
172,7,0,-36.7,0.9829
173,6,0,-43.1,0.9828
174,7,0,-48.7,0.9827
175,25,0,-20.0,0.9827
176,12,0,-46.2,0.9826
177,13,0,-39.8,0.9825
178,23,0,-41.8,0.9824
179,6,0,-42.6,0.9823
180,10,0,-50.0,0.9822
181,7,0,-42.2,0.9821
182,15,0,-55.0,0.982
183,13,0,-27.3,0.9819
184,32,0,-48.2,0.9818
185,13,0,-40.3,0.9817
186,12,0,-48.2,0.9816
187,6,0,-41.6,0.9815
188,7,0,-38.7,0.9814
189,32,0,-47.2,0.9813
190,22,0,-27.7,0.9812
191,48,0,-9.8,0.9811
192,6,0,-43.1,0.981
193,21,0,-26.1,0.9809
194,16,0,-41.1,0.9808
195,9,0,-44.4,0.9807
196,20,0,-39.0,0.9806
197,29,1,-13.4,0.9805
198,6,0,-43.1,0.9804
199,24,0,-36.4,0.9803
200,9,0,-45.4,0.9802
201,7,0,-44.2,0.9801
202,16,0,-41.6,0.98
203,17,0,-41.7,0.9799
204,6,0,-49.6,0.9798
205,12,0,-49.2,0.9797
206,16,0,-35.1,0.9796
207,14,0,-41.4,0.9795
208,33,1,-34.8,0.9794
209,24,0,-60.9,0.9793
210,26,0,-39.1,0.9792
211,12,0,-42.7,0.9791
212,22,0,-46.7,0.979
213,26,1,-20.6,0.9789
214,6,0,-40.6,0.9788
215,5,0,-42.5,0.9787
216,11,0,-46.6,0.9786
217,25,0,-19.0,0.9785
218,18,0,-39.8,0.9784
219,19,0,-44.4,0.9783
220,17,0,-27.7,0.9782
221,34,0,-27.9,0.9781
222,9,0,-44.4,0.978
223,65,0,-48.0,0.9779
224,33,0,-25.8,0.9778
225,50,0,-51.0,0.9778
226,35,0,-48.0,0.9777
227,24,0,-48.4,0.9776
228,110,1,-23.5,0.9775
229,8,0,-46.8,0.9774
230,39,0,-29.9,0.9773
231,8,0,-48.8,0.9772
232,25,0,-35.5,0.9771
233,21,0,-55.1,0.977
234,15,0,-39.0,0.9769
235,14,0,-34.9,0.9768
236,9,0,-50.4,0.9767
237,15,0,-39.0,0.9766
238,40,0,-37.5,0.9765
239,13,0,-37.3,0.9764
240,14,0,-43.4,0.9763
241,14,0,-50.9,0.9762
242,21,1,-18.6,0.9761
243,58,2,-22.3,0.976
244,25,0,-44.0,0.9759
245,43,0,-26.3,0.9758
246,9,0,-49.4,0.9757
247,25,0,-36.0,0.9756
248,45,0,-55.5,0.9755
249,15,0,-41.0,0.9754
250,21,0,-28.1,0.9753
251,16,0,-38.1,0.9752
252,6,0,-44.6,0.9751
253,17,0,-42.2,0.975
