round,steps,score,reward,epsilon
1,18,0,-50.3,0.9998
2,8,0,-43.3,0.9996
3,12,0,-50.7,0.9994
4,8,0,-46.8,0.9992
5,8,0,-43.3,0.999
6,5,0,-48.0,0.9988
7,28,0,-35.3,0.9986
8,22,0,-32.7,0.9984
9,18,0,-43.8,0.9982
10,6,0,-46.6,0.998
11,29,0,-39.9,0.9978
12,28,0,-20.8,0.9976
13,10,0,-35.0,0.9974
14,32,0,-33.7,0.9972
15,17,0,-49.2,0.997
16,9,0,-46.9,0.9968
17,26,0,-33.1,0.9966
18,13,0,-34.8,0.9964
19,16,0,-44.6,0.9962
20,14,0,-46.9,0.996
21,14,0,-39.9,0.9958
22,21,0,-46.1,0.9956
23,13,0,-33.3,0.9954
24,6,0,-45.6,0.9952
25,25,0,-38.5,0.995
26,7,0,-49.7,0.9948
27,7,0,-44.2,0.9946
28,28,0,-28.8,0.9944
29,32,0,-33.2,0.9942
30,26,0,-48.6,0.994
31,24,0,-47.4,0.9938
32,9,0,-45.4,0.9936
33,14,0,-35.4,0.9934
34,15,1,-27.0,0.9932
35,6,0,-49.6,0.993
36,29,0,-34.4,0.9928
37,13,0,-47.3,0.9926
38,10,0,-46.0,0.9924
39,13,0,-48.8,0.9922
40,14,0,-44.9,0.992
41,6,0,-46.1,0.9918
42,29,0,-58.9,0.9916
43,7,0,-44.2,0.9914
44,16,0,-42.1,0.9912
45,19,0,-48.4,0.991
46,10,0,-48.5,0.9908
47,15,0,-38.0,0.9906
48,8,0,-42.8,0.9904
49,6,0,-41.1,0.9902
50,16,0,-43.1,0.99
51,8,0,-48.3,0.9899
52,20,0,-44.5,0.9897
53,16,0,-35.6,0.9895
54,40,0,-50.5,0.9893
55,31,0,-29.1,0.9891
56,6,0,-43.1,0.9889
57,30,0,-50.0,0.9887
58,7,0,-46.7,0.9885
59,39,0,-59.9,0.9883
60,10,0,-51.5,0.9881
61,26,0,-57.6,0.9879
62,27,0,-43.2,0.9877
63,19,0,-54.4,0.9875
64,7,0,-50.7,0.9873
65,6,0,-42.6,0.9871
66,8,0,-49.3,0.9869
67,15,0,-48.5,0.9867
68,16,0,-41.1,0.9865
69,18,0,-33.8,0.9863
70,6,0,-46.1,0.9861
71,32,0,-16.2,0.9859
72,14,0,-37.9,0.9857
73,6,0,-41.6,0.9855
74,14,0,-36.9,0.9853
75,51,0,-43.6,0.9851
76,18,0,-39.3,0.9849
77,23,0,-22.8,0.9847
78,16,0,-24.6,0.9845
79,31,0,-26.6,0.9843
80,23,0,-48.3,0.9841
