round,steps,score,reward,epsilon
1,36,0,-24.1,0.9998
2,30,2,9.5,0.9996
3,20,0,-37.5,0.9994
4,21,0,-55.1,0.9992
5,6,0,-37.6,0.999
6,11,0,-50.1,0.9988
7,23,0,-52.8,0.9986
8,14,0,-49.9,0.9984
9,53,2,9.2,0.9982
10,21,0,-41.6,0.998
11,20,0,-52.0,0.9978
12,16,0,-43.1,0.9976
13,24,0,-36.9,0.9974
14,44,1,-1.9,0.9972
15,10,0,-45.0,0.997
16,20,1,-11.5,0.9968
17,25,1,-16.5,0.9966
18,8,0,-46.3,0.9964
19,23,0,-44.3,0.9962
20,9,0,-44.4,0.996
21,37,1,21.8,0.9958
22,37,0,-24.7,0.9956
23,13,0,-32.8,0.9954
24,21,0,-30.6,0.9952
25,17,0,-37.2,0.995
26,24,0,-27.4,0.9948
27,10,0,-33.5,0.9946
28,19,1,-24.4,0.9944
29,43,0,-32.3,0.9942
30,6,0,-39.1,0.994
31,23,0,-36.8,0.9938
32,12,0,-48.2,0.9936
33,6,0,-37.1,0.9934
34,7,0,-45.2,0.9932
35,15,0,-30.5,0.993
36,19,0,-52.9,0.9928
37,13,0,-50.3,0.9926
38,18,0,-35.8,0.9924
39,15,0,-49.0,0.9922
40,11,0,-49.6,0.992
41,12,0,-42.2,0.9918
42,17,1,-22.7,0.9916
43,23,1,-9.8,0.9914
44,64,0,-40.4,0.9912
45,28,0,-39.8,0.991
46,10,0,-52.0,0.9908
47,17,0,-42.7,0.9906
48,24,1,-13.4,0.9904
49,32,0,-18.7,0.9902
50,31,0,-19.6,0.99
51,19,0,-35.9,0.9899
52,26,1,-31.1,0.9897
53,9,0,-47.4,0.9895
54,19,0,-47.4,0.9893
55,35,0,-58.0,0.9891
56,26,0,-41.6,0.9889
57,9,0,-47.4,0.9887
58,10,0,-44.0,0.9885
59,5,0,-44.5,0.9883
60,7,0,-44.2,0.9881
61,38,1,-10.8,0.9879
62,29,1,-39.9,0.9877
63,23,0,-41.8,0.9875
64,20,0,-20.5,0.9873
65,28,1,-28.3,0.9871
66,23,0,-49.8,0.9869
67,6,0,-43.6,0.9867
68,12,0,-48.2,0.9865
69,23,0,-27.8,0.9863
70,19,0,-59.4,0.9861
71,27,1,-24.7,0.9859
72,20,0,-25.5,0.9857
73,6,0,-39.1,0.9855
74,5,0,-45.0,0.9853
75,23,2,3.7,0.9851
76,6,0,-42.6,0.9849
77,31,0,-61.1,0.9847
78,9,0,-42.9,0.9845
79,10,0,-54.0,0.9843
80,6,0,-43.6,0.9841
81,19,0,-45.9,0.9839
82,31,0,-50.1,0.9837
83,14,0,-42.9,0.9835
84,23,0,-39.8,0.9833
85,33,0,-27.8,0.9831
86,27,0,-46.7,0.9829
87,12,0,-49.7,0.9827
88,26,0,-13.6,0.9826
89,21,0,-10.6,0.9824
90,6,0,-40.6,0.9822
91,23,0,-48.8,0.982
92,32,1,1.8,0.9818
93,7,0,-40.2,0.9816
94,33,0,-50.8,0.9814
95,6,0,-48.6,0.9812
96,29,0,-41.9,0.981
97,15,0,-38.5,0.9808
98,31,0,-28.1,0.9806
99,6,0,-44.1,0.9804
100,31,1,18.4,0.9802
101,6,0,-48.6,0.98
102,28,0,-40.3,0.9798
103,32,2,8.3,0.9796
104,33,0,-46.8,0.9794
105,7,0,-49.7,0.9792
106,11,0,-43.1,0.979
107,22,0,-46.2,0.9788
108,16,0,-57.1,0.9786
109,5,0,-39.5,0.9784
110,6,0,-39.1,0.9782
111,55,1,12.5,0.978
112,17,0,-45.2,0.9778
113,8,0,-47.3,0.9777
114,7,0,-46.7,0.9775
115,9,0,-47.4,0.9773
116,9,0,-48.4,0.9771
117,13,0,-49.3,0.9769
118,15,0,-34.0,0.9767
119,21,0,-47.1,0.9765
120,8,0,-37.8,0.9763
121,32,0,-9.2,0.9761
122,9,0,-44.9,0.9759
123,19,0,-57.4,0.9757
124,6,0,-40.6,0.9755
125,6,0,-44.1,0.9753
126,26,0,-40.1,0.9751
127,19,0,-25.4,0.9749
128,6,0,-43.6,0.9747
129,13,0,-30.3,0.9745
130,12,0,-48.7,0.9743
131,34,0,-23.4,0.9741
132,16,0,-33.6,0.9739
133,8,0,-49.8,0.9737
134,17,0,-38.2,0.9736
135,35,0,-20.0,0.9734
136,8,0,-42.8,0.9732
137,24,1,-34.4,0.973
138,23,0,-38.8,0.9728
139,23,0,-31.3,0.9726
