round,steps,score,reward,epsilon
1,400,17,-196.0,0.999
2,400,14,-237.0,0.998
3,400,13,-312.0,0.997
4,400,18,-276.0,0.996
5,400,20,-242.0,0.995
6,400,17,-304.0,0.994
7,400,17,-222.0,0.993
8,400,12,-418.0,0.992
9,400,22,-231.0,0.991
10,400,11,-399.0,0.99
11,400,28,-168.0,0.9891
12,400,19,-195.0,0.9881
13,400,22,-251.0,0.9871
14,400,25,-172.0,0.9861
15,400,19,-253.0,0.9851
16,400,20,-249.0,0.9841
17,400,21,-190.0,0.9831
18,400,22,-202.0,0.9822
19,400,28,-125.0,0.9812
20,400,23,-196.0,0.9802
21,400,15,-306.0,0.9792
22,400,12,-285.0,0.9782
23,400,25,-154.0,0.9773
24,400,24,-144.0,0.9763
25,400,33,-81.0,0.9753
26,400,14,-320.0,0.9743
27,400,25,-127.0,0.9733
28,400,24,-193.0,0.9724
29,400,22,-177.0,0.9714
30,400,17,-252.0,0.9704
31,400,30,-99.0,0.9695
32,400,13,-277.0,0.9685
33,400,19,-213.0,0.9675
34,400,14,-268.0,0.9666
35,400,22,-229.0,0.9656
36,400,21,-216.0,0.9646
37,400,16,-256.0,0.9637
38,400,19,-186.0,0.9627
39,400,14,-292.0,0.9617
40,400,27,-131.0,0.9608
41,400,27,-160.0,0.9598
42,400,16,-282.0,0.9588
43,400,23,-182.0,0.9579
44,400,22,-193.0,0.9569
45,400,17,-241.0,0.956
46,400,22,-118.0,0.955
47,400,25,-133.0,0.9541
48,400,28,-165.0,0.9531
49,400,25,-119.0,0.9522
50,400,22,-222.0,0.9512
51,400,21,-185.0,0.9503
52,400,15,-356.0,0.9493
53,400,27,-149.0,0.9484
54,400,21,-236.0,0.9474
55,400,14,-252.0,0.9465
56,400,15,-298.0,0.9455
57,400,19,-175.0,0.9446
58,400,25,-136.0,0.9436
59,400,29,-52.0,0.9427
60,400,23,-145.0,0.9417
61,400,13,-327.0,0.9408
62,400,29,-118.0,0.9399
63,400,26,-149.0,0.9389
64,400,27,-133.0,0.938
65,400,21,-229.0,0.937
66,400,20,-181.0,0.9361
67,400,28,-97.0,0.9352
68,400,24,-161.0,0.9342
69,400,22,-179.0,0.9333
70,400,28,-155.0,0.9324
71,400,24,-123.0,0.9314
72,400,24,-192.0,0.9305
73,400,17,-220.0,0.9296
74,400,26,-97.0,0.9286
75,400,26,-148.0,0.9277
76,400,18,-187.0,0.9268
77,400,28,-91.0,0.9259
78,400,29,-118.0,0.9249
79,400,26,-122.0,0.924
80,400,18,-326.0,0.9231
81,400,17,-223.0,0.9222
82,400,26,-78.0,0.9212
83,400,19,-173.0,0.9203
84,400,21,-169.0,0.9194
85,400,24,-116.0,0.9185
86,400,22,-216.0,0.9176
87,400,24,-198.0,0.9166
88,400,24,-146.0,0.9157
89,400,26,-112.0,0.9148
90,400,21,-164.0,0.9139
91,400,24,-139.0,0.913
92,400,43,135.0,0.9121
93,400,24,-177.0,0.9112
94,400,24,-120.0,0.9102
95,400,28,-76.0,0.9093
96,400,30,-3.0,0.9084
97,400,23,-191.0,0.9075
98,400,40,30.0,0.9066
99,400,18,-209.0,0.9057
100,400,30,-57.0,0.9048
101,400,27,-84.0,0.9039
102,400,27,-106.0,0.903
103,400,19,-163.0,0.9021
104,400,25,-145.0,0.9012
105,400,33,-66.0,0.9003
106,400,20,-236.0,0.8994
107,400,29,-60.0,0.8985
108,400,34,-42.0,0.8976
109,400,31,-77.0,0.8967
110,400,27,-100.0,0.8958
111,400,25,-66.0,0.8949
112,400,32,-19.0,0.894
113,400,31,-35.0,0.8931
114,400,26,-114.0,0.8922
115,400,37,-1.0,0.8913
116,400,28,-124.0,0.8904
117,400,27,-98.0,0.8895
118,400,28,-133.0,0.8886
119,400,26,-156.0,0.8878
120,400,31,-72.0,0.8869
121,400,30,-89.0,0.886
122,400,30,-16.0,0.8851
123,400,31,-67.0,0.8842
124,400,20,-179.0,0.8833
125,400,36,9.0,0.8824
126,400,26,-134.0,0.8816
127,400,30,-11.0,0.8807
128,400,19,-193.0,0.8798
129,400,21,-152.0,0.8789
130,400,26,-89.0,0.878
131,400,35,35.0,0.8772
132,400,27,-104.0,0.8763
133,400,32,-6.0,0.8754
134,400,28,-62.0,0.8745
135,400,27,-110.0,0.8737
136,400,29,-75.0,0.8728
137,400,23,-214.0,0.8719
138,400,32,-9.0,0.871
139,400,32,-69.0,0.8702
140,400,22,-187.0,0.8693
141,400,20,-187.0,0.8684
142,400,33,6.0,0.8676
143,400,37,-12.0,0.8667
144,400,37,-56.0,0.8658
145,400,34,-57.0,0.865
146,400,27,-105.0,0.8641
147,400,33,-52.0,0.8632
148,400,30,-82.0,0.8624
149,400,29,-88.0,0.8615
150,400,31,-14.0,0.8606
151,400,25,-107.0,0.8598
152,400,33,-4.0,0.8589
153,400,34,8.0,0.8581
154,400,36,-1.0,0.8572
155,400,22,-135.0,0.8563
156,400,37,4.0,0.8555
157,400,33,5.0,0.8546
158,400,26,-69.0,0.8538
159,400,32,-10.0,0.8529
160,400,33,8.0,0.8521
161,400,40,45.0,0.8512
162,400,38,87.0,0.8504
163,400,36,45.0,0.8495
164,400,33,19.0,0.8487
165,400,26,-87.0,0.8478
166,400,43,148.0,0.847
167,400,29,-27.0,0.8461
168,400,42,46.0,0.8453
169,400,38,73.0,0.8444
170,400,37,16.0,0.8436
171,400,40,118.0,0.8427
172,400,39,76.0,0.8419
173,400,33,2.0,0.8411
174,400,36,8.0,0.8402
175,400,31,-48.0,0.8394
176,400,30,-54.0,0.8385
177,400,39,75.0,0.8377
178,400,34,-2.0,0.8369
179,400,35,-29.0,0.836
180,400,41,95.0,0.8352
181,400,38,81.0,0.8344
182,400,42,132.0,0.8335
183,400,32,-79.0,0.8327
184,400,43,110.0,0.8319
185,400,38,64.0,0.831
186,400,31,-11.0,0.8302
187,400,22,-146.0,0.8294
188,400,39,17.0,0.8285
189,400,38,75.0,0.8277
190,400,38,52.0,0.8269
191,400,35,51.0,0.8261
192,400,46,193.0,0.8252
193,400,33,-17.0,0.8244
194,400,40,69.0,0.8236
195,400,30,-31.0,0.8228
196,400,35,75.0,0.8219
197,400,37,-14.0,0.8211
198,400,39,62.0,0.8203
199,400,35,-19.0,0.8195
200,400,37,-11.0,0.8186
201,400,39,86.0,0.8178
202,400,30,-75.0,0.817
203,400,34,32.0,0.8162
204,400,40,126.0,0.8154
205,400,35,32.0,0.8146
206,400,38,76.0,0.8137
207,400,40,97.0,0.8129
208,400,29,-34.0,0.8121
209,400,44,113.0,0.8113
210,400,34,33.0,0.8105
211,400,36,8.0,0.8097
212,400,35,70.0,0.8089
213,400,40,111.0,0.8081
214,400,34,69.0,0.8073
215,400,45,177.0,0.8065
216,400,32,-9.0,0.8056
217,400,35,42.0,0.8048
218,400,39,-15.0,0.804
219,400,38,63.0,0.8032
220,400,39,58.0,0.8024
221,400,33,-10.0,0.8016
222,400,40,143.0,0.8008
223,400,34,21.0,0.8
224,400,34,38.0,0.7992
225,400,44,196.0,0.7984
226,400,42,94.0,0.7976
227,400,42,160.0,0.7968
228,400,40,107.0,0.796
229,400,43,116.0,0.7952
230,400,37,41.0,0.7944
231,400,35,42.0,0.7936
232,400,35,61.0,0.7929
233,400,39,99.0,0.7921
234,400,37,39.0,0.7913
235,400,38,23.0,0.7905
236,400,37,100.0,0.7897
237,400,33,-11.0,0.7889
238,400,44,168.0,0.7881
239,400,40,68.0,0.7873
240,400,44,78.0,0.7865
241,400,37,69.0,0.7857
242,400,37,97.0,0.785
243,400,45,139.0,0.7842
244,400,46,101.0,0.7834
245,400,38,81.0,0.7826
246,400,45,186.0,0.7818
247,400,38,67.0,0.781
248,400,35,5.0,0.7803
249,400,44,123.0,0.7795
250,400,36,72.0,0.7787
251,400,37,107.0,0.7779
252,400,46,206.0,0.7771
253,400,39,100.0,0.7764
254,400,45,113.0,0.7756
255,400,38,74.0,0.7748
256,400,39,104.0,0.774
257,400,49,199.0,0.7733
258,400,33,6.0,0.7725
259,400,46,163.0,0.7717
260,400,43,122.0,0.771
261,400,41,129.0,0.7702
262,400,37,94.0,0.7694
263,400,41,165.0,0.7686
264,400,33,28.0,0.7679
265,400,39,154.0,0.7671
266,400,45,187.0,0.7663
267,400,43,127.0,0.7656
268,400,41,180.0,0.7648
269,400,43,161.0,0.764
270,400,39,66.0,0.7633
271,400,34,30.0,0.7625
272,400,39,136.0,0.7618
273,400,43,162.0,0.761
274,400,40,125.0,0.7602
275,400,43,124.0,0.7595
276,400,30,20.0,0.7587
277,400,44,100.0,0.7579
278,400,40,73.0,0.7572
279,400,37,123.0,0.7564
280,400,38,78.0,0.7557
281,400,36,72.0,0.7549
282,400,45,199.0,0.7542
283,400,45,104.0,0.7534
284,400,42,95.0,0.7527
285,400,43,136.0,0.7519
286,400,39,121.0,0.7512
287,400,41,92.0,0.7504
288,400,46,168.0,0.7497
289,400,49,281.0,0.7489
290,400,49,236.0,0.7482
291,400,44,179.0,0.7474
292,400,49,254.0,0.7467
293,400,46,186.0,0.7459
294,400,49,239.0,0.7452
295,400,43,157.0,0.7444
296,400,49,212.0,0.7437
297,400,46,221.0,0.7429
298,400,45,171.0,0.7422
299,400,33,41.0,0.7414
300,400,46,232.0,0.7407
301,400,49,212.0,0.74
302,400,34,45.0,0.7392
303,400,36,72.0,0.7385
304,400,46,185.0,0.7377
305,400,46,204.0,0.737
306,400,48,199.0,0.7363
307,400,42,99.0,0.7355
308,400,47,198.0,0.7348
309,400,45,185.0,0.7341
310,400,46,208.0,0.7333
311,400,46,166.0,0.7326
312,400,43,140.0,0.7319
313,400,47,186.0,0.7311
314,400,45,168.0,0.7304
315,400,45,138.0,0.7297
316,400,37,48.0,0.7289
317,400,44,188.0,0.7282
318,400,45,195.0,0.7275
319,360,49,258.0,0.7268
320,400,45,137.0,0.726
321,400,49,250.0,0.7253
322,400,46,192.0,0.7246
323,400,43,202.0,0.7239
324,400,45,205.0,0.7231
325,400,46,180.0,0.7224
326,369,49,325.0,0.7217
327,400,42,132.0,0.721
328,400,47,198.0,0.7202
329,400,39,96.0,0.7195
330,400,47,189.0,0.7188
331,400,48,215.0,0.7181
332,400,49,273.0,0.7174
333,400,42,103.0,0.7167
334,400,43,176.0,0.7159
335,400,44,167.0,0.7152
336,328,49,343.0,0.7145
337,400,43,188.0,0.7138
338,400,47,240.0,0.7131
339,400,47,199.0,0.7124
340,400,46,132.0,0.7116
341,400,47,223.0,0.7109
342,400,47,195.0,0.7102
343,400,49,236.0,0.7095
344,400,48,231.0,0.7088
345,400,39,78.0,0.7081
346,377,49,212.0,0.7074
347,360,49,250.0,0.7067
348,400,47,208.0,0.706
349,400,45,205.0,0.7053
350,400,44,173.0,0.7046
351,400,42,159.0,0.7039
352,400,40,124.0,0.7032
353,400,46,176.0,0.7025
354,357,49,321.0,0.7018
355,400,46,179.0,0.701
356,400,48,219.0,0.7003
357,400,44,173.0,0.6996
358,400,45,162.0,0.6989
359,400,48,192.0,0.6982
360,400,49,242.0,0.6976
361,394,49,229.0,0.6969
362,400,46,202.0,0.6962
363,400,44,157.0,0.6955
364,388,49,281.0,0.6948
365,377,49,308.0,0.6941
366,400,46,236.0,0.6934
367,387,49,322.0,0.6927
368,269,49,389.0,0.692
369,400,41,169.0,0.6913
370,391,49,329.0,0.6906
371,400,49,256.0,0.6899
372,378,49,305.0,0.6892
373,400,48,213.0,0.6885
374,400,48,247.0,0.6878
375,400,46,225.0,0.6872
376,388,49,322.0,0.6865
377,370,49,302.0,0.6858
378,373,49,313.0,0.6851
379,400,40,145.0,0.6844
380,400,49,246.0,0.6837
381,273,49,325.0,0.683
382,400,42,214.0,0.6824
383,400,48,235.0,0.6817
384,400,49,268.0,0.681
385,386,49,301.0,0.6803
386,400,48,251.0,0.6796
387,400,48,260.0,0.679
388,355,49,301.0,0.6783
389,369,49,280.0,0.6776
390,400,49,314.0,0.6769
391,400,44,177.0,0.6762
392,373,49,273.0,0.6756
393,400,44,195.0,0.6749
394,400,48,252.0,0.6742
395,400,48,270.0,0.6735
396,400,49,274.0,0.6729
397,352,49,305.0,0.6722
398,369,49,310.0,0.6715
399,400,47,198.0,0.6709
400,400,49,266.0,0.6702
401,359,49,316.0,0.6695
402,345,49,302.0,0.6688
403,330,49,341.0,0.6682
404,325,49,362.0,0.6675
405,285,49,386.0,0.6668
406,400,45,183.0,0.6662
407,400,43,154.0,0.6655
408,339,49,349.0,0.6648
409,321,49,307.0,0.6642
410,353,49,318.0,0.6635
411,300,49,366.0,0.6629
412,346,49,325.0,0.6622
413,345,49,320.0,0.6615
414,400,49,279.0,0.6609
415,400,49,248.0,0.6602
416,334,49,323.0,0.6595
417,376,49,324.0,0.6589
418,320,49,341.0,0.6582
419,400,49,217.0,0.6576
420,400,48,216.0,0.6569
421,400,49,274.0,0.6563
422,400,47,209.0,0.6556
423,349,49,351.0,0.6549
424,400,41,177.0,0.6543
425,391,49,310.0,0.6536
426,305,49,364.0,0.653
427,340,49,361.0,0.6523
428,341,49,342.0,0.6517
429,316,49,339.0,0.651
430,371,49,364.0,0.6504
431,400,48,155.0,0.6497
432,377,49,299.0,0.6491
433,349,49,317.0,0.6484
434,400,49,215.0,0.6478
435,316,49,344.0,0.6471
436,400,48,220.0,0.6465
437,314,49,337.0,0.6458
438,398,49,302.0,0.6452
439,354,49,299.0,0.6445
440,400,47,217.0,0.6439
441,335,49,334.0,0.6433
442,395,49,311.0,0.6426
443,369,49,291.0,0.642
444,347,49,325.0,0.6413
445,360,49,324.0,0.6407
446,399,49,221.0,0.64
447,400,49,270.0,0.6394
448,395,49,286.0,0.6388
449,393,49,304.0,0.6381
450,400,46,230.0,0.6375
451,329,49,322.0,0.6368
452,400,48,277.0,0.6362
453,400,46,154.0,0.6356
454,394,49,298.0,0.6349
455,400,49,232.0,0.6343
456,383,49,327.0,0.6337
457,337,49,323.0,0.633
458,287,49,373.0,0.6324
459,368,49,356.0,0.6318
460,346,49,322.0,0.6311
461,364,49,243.0,0.6305
462,296,49,363.0,0.6299
463,307,49,320.0,0.6292
464,336,49,328.0,0.6286
465,400,49,263.0,0.628
466,370,49,322.0,0.6274
467,315,49,346.0,0.6267
468,400,48,279.0,0.6261
469,321,49,362.0,0.6255
470,400,49,276.0,0.6249
471,317,49,369.0,0.6242
472,400,49,223.0,0.6236
473,359,49,340.0,0.623
474,375,49,400.0,0.6224
475,345,49,346.0,0.6217
476,400,48,231.0,0.6211
477,400,49,334.0,0.6205
478,340,49,359.0,0.6199
479,352,49,315.0,0.6193
480,350,49,362.0,0.6186
481,355,49,344.0,0.618
482,364,49,369.0,0.6174
483,384,49,306.0,0.6168
484,400,49,261.0,0.6162
485,382,49,243.0,0.6155
486,380,49,309.0,0.6149
487,359,49,300.0,0.6143
488,326,49,339.0,0.6137
489,310,49,365.0,0.6131
490,258,49,379.0,0.6125
491,304,49,351.0,0.6119
492,305,49,389.0,0.6113
493,363,49,325.0,0.6106
494,297,49,403.0,0.61
495,367,49,343.0,0.6094
496,346,49,377.0,0.6088
497,289,49,381.0,0.6082
498,369,49,368.0,0.6076
499,312,49,364.0,0.607
500,237,49,405.0,0.6064
501,356,49,332.0,0.6058
502,304,49,347.0,0.6052
503,376,49,374.0,0.6046
504,378,49,328.0,0.604
505,293,49,334.0,0.6034
506,321,49,382.0,0.6027
507,227,49,427.0,0.6021
508,297,49,356.0,0.6015
509,346,49,348.0,0.6009
510,342,49,397.0,0.6003
511,278,49,440.0,0.5997
512,321,49,384.0,0.5991
513,332,49,338.0,0.5985
514,327,49,373.0,0.5979
515,312,49,361.0,0.5973
516,322,49,349.0,0.5967
517,331,49,299.0,0.5962
518,331,49,378.0,0.5956
519,327,49,328.0,0.595
520,347,49,369.0,0.5944
521,318,49,346.0,0.5938
522,291,49,376.0,0.5932
523,317,49,394.0,0.5926
524,293,49,354.0,0.592
525,254,49,369.0,0.5914
526,332,49,352.0,0.5908
527,318,49,400.0,0.5902
528,304,49,367.0,0.5896
529,315,49,341.0,0.589
530,289,49,392.0,0.5884
531,272,49,408.0,0.5879
532,328,49,339.0,0.5873
533,323,49,314.0,0.5867
534,391,49,238.0,0.5861
535,335,49,375.0,0.5855
536,304,49,402.0,0.5849
537,288,49,413.0,0.5843
538,326,49,394.0,0.5838
539,358,49,335.0,0.5832
540,303,49,350.0,0.5826
541,348,49,394.0,0.582
542,285,49,363.0,0.5814
543,255,49,425.0,0.5808
544,299,49,382.0,0.5803
545,288,49,401.0,0.5797
546,385,49,346.0,0.5791
547,292,49,354.0,0.5785
548,263,49,355.0,0.5779
549,281,49,367.0,0.5774
550,298,49,378.0,0.5768
551,310,49,358.0,0.5762
552,319,49,358.0,0.5756
553,331,49,336.0,0.5751
554,246,49,422.0,0.5745
555,314,49,384.0,0.5739
556,293,49,372.0,0.5733
557,351,49,353.0,0.5728
558,278,49,402.0,0.5722
559,268,49,380.0,0.5716
560,308,49,383.0,0.571
561,336,49,341.0,0.5705
562,280,49,379.0,0.5699
563,309,49,394.0,0.5693
